customer_id,customer_name,segment,region,sale_id,sale_date,sale_value,product,sale_month
CUST0043,Cliente 43,Pequena Empresa,Sudeste,SALE0709,2025-04-19 10:37:23.102082,4535.24,Produto A,2025-04
CUST0044,Cliente 44,Autônomo,Centro-Oeste,SALE0478,2025-07-18 10:37:23.101242,3302.47,Produto B,2025-07
CUST0045,Cliente 45,Pequena Empresa,Norte,SALE0354,2025-05-15 10:37:23.100840,4025.13,Produto A,2025-05
CUST0045,Cliente 45,Pequena Empresa,Norte,SALE0765,2025-05-09 10:37:23.102261,4469.08,Serviço Y,2025-05
CUST0046,Cliente 46,Média Empresa,Sudeste,,,,,
CUST0047,Cliente 47,Pequena Empresa,Norte,SALE0797,2025-06-20 10:37:23.102361,1772.67,Produto A,2025-06
CUST0048,Cliente 48,Média Empresa,Sul,,,,,
CUST0049,Cliente 49,Média Empresa,Sudeste,,,,,
CUST0050,Cliente 50,Pequena Empresa,Norte,,,,,
CUST0051,Cliente 51,Autônomo,Sul,SALE0442,2024-11-09 10:37:23.101125,2795.76,Produto B,2024-11
CUST0052,Cliente 52,Grande Empresa,Centro-Oeste,SALE0674,2025-01-01 10:37:23.101972,3969.0,Serviço Y,2025-01
CUST0052,Cliente 52,Grande Empresa,Centro-Oeste,SALE0701,2025-02-12 10:37:23.102057,1139.0,Serviço Y,2025-02
CUST0053,Cliente 53,Autônomo,Sul,,,,,
CUST0054,Cliente 54,Grande Empresa,Nordeste,,,,,
CUST0055,Cliente 55,Média Empresa,Sul,,,,,
CUST0056,Cliente 56,Autônomo,Sul,SALE0498,2024-12-31 10:37:23.101305,2186.67,Serviço X,2024-12
CUST0057,Cliente 57,Pequena Empresa,Nordeste,SALE0270,2025-06-23 10:37:23.100548,1279.92,Serviço X,2025-06
CUST0057,Cliente 57,Pequena Empresa,Nordeste,SALE0615,2024-12-02 10:37:23.101746,3726.52,Produto A,2024-12
CUST0058,Cliente 58,Pequena Empresa,Norte,,,,,
CUST0059,Cliente 59,Pequena Empresa,Norte,SALE0049,2024-11-30 10:37:23.099777,731.93,Produto B,2024-11
CUST0059,Cliente 59,Pequena Empresa,Norte,SALE0068,2025-02-01 10:37:23.099837,4119.95,Serviço Y,2025-02
CUST0060,Cliente 60,Pequena Empresa,Sul,,,,,
CUST0061,Cliente 61,Pequena Empresa,Nordeste,,,,,
CUST0062,Cliente 62,Pequena Empresa,Nordeste,,,,,
CUST0063,Cliente 63,Grande Empresa,Centro-Oeste,SALE0748,2025-07-03 10:37:23.102207,3100.54,Produto A,2025-07
CUST0064,Cliente 64,Pequena Empresa,Norte,,,,,
CUST0065,Cliente 65,Pequena Empresa,Sudeste,SALE0775,2024-11-14 10:37:23.102292,2707.77,Produto A,2024-11
CUST0066,Cliente 66,Média Empresa,Norte,,,,,
CUST0067,Cliente 67,Pequena Empresa,Norte,,,,,
CUST0068,Cliente 68,Grande Empresa,Centro-Oeste,SALE0577,2025-03-08 10:37:23.101568,2819.9,Serviço Y,2025-03
CUST0069,Cliente 69,Pequena Empresa,Sudeste,SALE0069,2024-12-07 10:37:23.099841,1513.23,Serviço Y,2024-12
CUST0069,Cliente 69,Pequena Empresa,Sudeste,SALE0180,2024-12-28 10:37:23.100265,1330.47,Produto A,2024-12
CUST0069,Cliente 69,Pequena Empresa,Sudeste,SALE0611,2025-02-22 10:37:23.101725,4846.17,Serviço X,2025-02
CUST0070,Cliente 70,Autônomo,Centro-Oeste,,,,,
CUST0071,Cliente 71,Grande Empresa,Sudeste,,,,,
CUST0072,Cliente 72,Pequena Empresa,Sul,SALE0237,2025-04-26 10:37:23.100445,4832.19,Serviço Y,2025-04
CUST0072,Cliente 72,Pequena Empresa,Sul,SALE0350,2025-05-23 10:37:23.100827,1414.01,Serviço Y,2025-05
CUST0073,Cliente 73,Pequena Empresa,Sudeste,,,,,
CUST0074,Cliente 74,Grande Empresa,Centro-Oeste,,,,,
CUST0075,Cliente 75,Grande Empresa,Norte,,,,,
CUST0076,Cliente 76,Grande Empresa,Sudeste,SALE0660,2024-11-07 10:37:23.101927,502.2,Serviço Y,2024-11
CUST0077,Cliente 77,Grande Empresa,Sudeste,SALE0367,2024-12-16 10:37:23.100882,4774.29,Serviço Y,2024-12
CUST0077,Cliente 77,Grande Empresa,Sudeste,SALE0548,2025-01-27 10:37:23.101463,3037.98,Serviço Y,2025-01
CUST0078,Cliente 78,Pequena Empresa,Nordeste,,,,,
CUST0079,Cliente 79,Pequena Empresa,Norte,,,,,
CUST0080,Cliente 80,Pequena Empresa,Sul,SALE0019,2025-05-03 10:37:23.099677,367.22,Serviço Y,2025-05
CUST0081,Cliente 81,Grande Empresa,Centro-Oeste,SALE0299,2025-02-05 10:37:23.100653,809.42,Serviço Y,2025-02
CUST0082,Cliente 82,Média Empresa,Sul,SALE0487,2024-11-11 10:37:23.101270,1393.23,Serviço Y,2024-11
CUST0083,Cliente 83,Pequena Empresa,Norte,,,,,
CUST0084,Cliente 84,Pequena Empresa,Sudeste,,,,,
CUST0085,Cliente 85,Pequena Empresa,Sudeste,SALE0173,2024-10-27 10:37:23.100242,1559.15,Produto A,2024-10
CUST0086,Cliente 86,Pequena Empresa,Norte,SALE0052,2025-06-24 10:37:23.099786,912.21,Serviço X,2025-06
CUST0086,Cliente 86,Pequena Empresa,Norte,SALE0072,2025-02-22 10:37:23.099850,2950.19,Produto A,2025-02
CUST0087,Cliente 87,Grande Empresa,Sudeste,,,,,
CUST0088,Cliente 88,Média Empresa,Sudeste,SALE0503,2025-02-22 10:37:23.101320,213.61,Produto B,2025-02
CUST0088,Cliente 88,Média Empresa,Sudeste,SALE0667,2025-07-14 10:37:23.101949,2674.8,Serviço Y,2025-07
CUST0089,Cliente 89,Grande Empresa,Sudeste,,,,,
CUST0090,Cliente 90,Média Empresa,Centro-Oeste,,,,,
CUST0091,Cliente 91,Pequena Empresa,Centro-Oeste,,,,,
CUST0092,Cliente 92,Grande Empresa,Nordeste,SALE0178,2025-01-28 10:37:23.100258,2260.68,Serviço X,2025-01
CUST0092,Cliente 92,Grande Empresa,Nordeste,SALE0362,2024-10-29 10:37:23.100866,4173.26,Serviço X,2024-10
CUST0093,Cliente 93,Grande Empresa,Sul,SALE0141,2025-04-08 10:37:23.100141,4993.06,Serviço Y,2025-04
CUST0093,Cliente 93,Grande Empresa,Sul,SALE0698,2025-03-05 10:37:23.102047,2222.6,Produto B,2025-03
CUST0094,Cliente 94,Média Empresa,Norte,SALE0241,2025-07-18 10:37:23.100457,2349.34,Serviço Y,2025-07
CUST0095,Cliente 95,Grande Empresa,Norte,SALE0148,2025-01-19 10:37:23.100163,3325.18,Produto A,2025-01
CUST0095,Cliente 95,Grande Empresa,Norte,SALE0586,2025-05-29 10:37:23.101597,1066.1,Produto B,2025-05
CUST0096,Cliente 96,Média Empresa,Norte,,,,,
CUST0097,Cliente 97,Média Empresa,Nordeste,,,,,
CUST0098,Cliente 98,Média Empresa,Centro-Oeste,,,,,
CUST0099,Cliente 99,Pequena Empresa,Nordeste,SALE0340,2025-05-04 10:37:23.100796,2835.07,Produto B,2025-05
CUST0099,Cliente 99,Pequena Empresa,Nordeste,SALE0618,2025-07-21 10:37:23.101761,2085.7,Serviço Y,2025-07
CUST0100,Cliente 100,Pequena Empresa,Norte,,,,,
CUST0101,Cliente 101,Pequena Empresa,Sul,,,,,
CUST0102,Cliente 102,Média Empresa,Sudeste,,,,,
CUST0103,Cliente 103,Pequena Empresa,Centro-Oeste,,,,,
CUST0104,Cliente 104,Média Empresa,Centro-Oeste,,,,,
CUST0105,Cliente 105,Autônomo,Nordeste,SALE0752,2025-03-01 10:37:23.102220,1590.41,Produto B,2025-03
CUST0105,Cliente 105,Autônomo,Nordeste,SALE0792,2024-11-07 10:37:23.102346,3183.49,Serviço X,2024-11
CUST0106,Cliente 106,Pequena Empresa,Centro-Oeste,,,,,
CUST0107,Cliente 107,Média Empresa,Norte,,,,,
CUST0108,Cliente 108,Grande Empresa,Norte,SALE0286,2025-04-29 10:37:23.100610,4365.4,Produto A,2025-04
CUST0109,Cliente 109,Pequena Empresa,Nordeste,,,,,
CUST0110,Cliente 110,Pequena Empresa,Norte,,,,,
CUST0111,Cliente 111,Pequena Empresa,Sul,,,,,
CUST0112,Cliente 112,Pequena Empresa,Nordeste,SALE0028,2025-04-01 10:37:23.099706,2797.28,Produto A,2025-04
CUST0112,Cliente 112,Pequena Empresa,Nordeste,SALE0381,2024-10-18 10:37:23.100926,328.56,Serviço X,2024-10
CUST0113,Cliente 113,Autônomo,Sul,,,,,
CUST0114,Cliente 114,Grande Empresa,Sudeste,,,,,
CUST0115,Cliente 115,Média Empresa,Sul,SALE0525,2024-11-06 10:37:23.101390,1334.78,Serviço Y,2024-11
CUST0116,Cliente 116,Grande Empresa,Sudeste,SALE0295,2024-11-14 10:37:23.100638,4766.91,Serviço X,2024-11
CUST0117,Cliente 117,Grande Empresa,Sudeste,,,,,
CUST0118,Cliente 118,Pequena Empresa,Sul,,,,,
CUST0119,Cliente 119,Grande Empresa,Nordeste,SALE0626,2025-03-06 10:37:23.101801,140.78,Serviço Y,2025-03
CUST0120,Cliente 120,Média Empresa,Norte,SALE0706,2025-04-17 10:37:23.102072,2938.01,Serviço X,2025-04
CUST0121,Cliente 121,Grande Empresa,Norte,SALE0060,2024-11-27 10:37:23.099812,1293.23,Serviço X,2024-11
CUST0122,Cliente 122,Grande Empresa,Sudeste,SALE0221,2024-12-26 10:37:23.100395,938.25,Serviço Y,2024-12
CUST0123,Cliente 123,Pequena Empresa,Sudeste,,,,,
CUST0124,Cliente 124,Pequena Empresa,Nordeste,,,,,
CUST0125,Cliente 125,Pequena Empresa,Centro-Oeste,SALE0601,2025-04-17 10:37:23.101677,1881.22,Serviço Y,2025-04
CUST0126,Cliente 126,Média Empresa,Sul,,,,,
CUST0127,Cliente 127,Grande Empresa,Sudeste,,,,,
CUST0128,Cliente 128,Grande Empresa,Norte,SALE0112,2024-12-23 10:37:23.100023,2721.1,Produto B,2024-12
CUST0128,Cliente 128,Grande Empresa,Norte,SALE0301,2024-11-15 10:37:23.100659,389.09,Serviço Y,2024-11
CUST0129,Cliente 129,Pequena Empresa,Nordeste,,,,,
CUST0130,Cliente 130,Média Empresa,Sul,,,,,
CUST0131,Cliente 131,Média Empresa,Nordeste,SALE0428,2025-07-23 10:37:23.101081,2137.69,Serviço X,2025-07
CUST0131,Cliente 131,Média Empresa,Nordeste,SALE0741,2025-03-26 10:37:23.102185,3526.58,Produto B,2025-03
CUST0132,Cliente 132,Pequena Empresa,Sul,,,,,
CUST0133,Cliente 133,Pequena Empresa,Sul,,,,,
CUST0134,Cliente 134,Pequena Empresa,Sudeste,SALE0318,2025-07-10 10:37:23.100726,1177.82,Produto B,2025-07
CUST0135,Cliente 135,Autônomo,Nordeste,SALE0372,2025-01-02 10:37:23.100897,4515.51,Produto B,2025-01
CUST0135,Cliente 135,Autônomo,Nordeste,SALE0488,2025-02-01 10:37:23.101273,966.78,Produto A,2025-02
CUST0136,Cliente 136,Pequena Empresa,Nordeste,,,,,
CUST0137,Cliente 137,Média Empresa,Norte,SALE0195,2025-07-26 10:37:23.100311,3459.4,Produto A,2025-07
CUST0138,Cliente 138,Grande Empresa,Norte,,,,,
CUST0139,Cliente 139,Pequena Empresa,Sudeste,SALE0164,2025-07-23 10:37:23.100214,797.03,Produto A,2025-07
CUST0140,Cliente 140,Autônomo,Sudeste,SALE0184,2024-12-15 10:37:23.100277,4184.77,Produto B,2024-12
CUST0141,Cliente 141,Autônomo,Centro-Oeste,SALE0495,2025-05-31 10:37:23.101295,577.47,Produto B,2025-05
CUST0142,Cliente 142,Pequena Empresa,Norte,SALE0481,2025-02-27 10:37:23.101251,4111.46,Produto B,2025-02
CUST0143,Cliente 143,Média Empresa,Sul,SALE0682,2025-07-04 10:37:23.101997,3018.61,Serviço Y,2025-07
CUST0144,Cliente 144,Pequena Empresa,Nordeste,,,,,
CUST0145,Cliente 145,Pequena Empresa,Sudeste,,,,,
CUST0146,Cliente 146,Pequena Empresa,Nordeste,SALE0219,2025-02-28 10:37:23.100389,2750.01,Produto A,2025-02
CUST0147,Cliente 147,Média Empresa,Nordeste,,,,,
CUST0148,Cliente 148,Média Empresa,Centro-Oeste,,,,,
CUST0149,Cliente 149,Pequena Empresa,Norte,SALE0058,2025-02-26 10:37:23.099805,2386.98,Produto B,2025-02
CUST0149,Cliente 149,Pequena Empresa,Norte,SALE0639,2024-12-21 10:37:23.101860,3202.86,Serviço X,2024-12
CUST0149,Cliente 149,Pequena Empresa,Norte,SALE0728,2025-07-27 10:37:23.102144,2474.97,Produto A,2025-07
CUST0150,Cliente 150,Pequena Empresa,Sudeste,,,,,
CUST0151,Cliente 151,Autônomo,Nordeste,,,,,
CUST0152,Cliente 152,Pequena Empresa,Sudeste,,,,,
CUST0153,Cliente 153,Pequena Empresa,Sul,,,,,
CUST0154,Cliente 154,Média Empresa,Centro-Oeste,SALE0104,2024-10-15 10:37:23.099984,1728.7,Serviço Y,2024-10
CUST0155,Cliente 155,Autônomo,Sul,SALE0522,2024-11-16 10:37:23.101380,1319.61,Serviço Y,2024-11
CUST0155,Cliente 155,Autônomo,Sul,SALE0573,2025-04-01 10:37:23.101545,1713.05,Produto B,2025-04
CUST0156,Cliente 156,Pequena Empresa,Sudeste,,,,,
CUST0157,Cliente 157,Média Empresa,Sudeste,SALE0307,2024-12-17 10:37:23.100678,1162.07,Produto A,2024-12
CUST0158,Cliente 158,Grande Empresa,Norte,SALE0342,2025-07-06 10:37:23.100802,2164.31,Serviço Y,2025-07
CUST0159,Cliente 159,Pequena Empresa,Nordeste,SALE0116,2025-04-27 10:37:23.100036,942.76,Serviço Y,2025-04
CUST0160,Cliente 160,Grande Empresa,Nordeste,SALE0446,2024-11-28 10:37:23.101138,1378.0,Serviço X,2024-11
CUST0161,Cliente 161,Pequena Empresa,Sul,,,,,
CUST0162,Cliente 162,Média Empresa,Centro-Oeste,,,,,
CUST0163,Cliente 163,Média Empresa,Nordeste,,,,,
CUST0164,Cliente 164,Média Empresa,Norte,SALE0564,2025-03-19 10:37:23.101517,83.59,Produto B,2025-03
CUST0165,Cliente 165,Pequena Empresa,Sul,SALE0001,2025-03-31 10:37:23.099534,3236.21,Produto B,2025-03
CUST0165,Cliente 165,Pequena Empresa,Sul,SALE0770,2025-01-02 10:37:23.102276,727.75,Produto B,2025-01
CUST0166,Cliente 166,Grande Empresa,Sul,SALE0324,2025-01-16 10:37:23.100745,805.24,Produto A,2025-01
CUST0167,Cliente 167,Pequena Empresa,Norte,SALE0126,2025-06-08 10:37:23.100072,3523.48,Produto A,2025-06
CUST0168,Cliente 168,Pequena Empresa,Centro-Oeste,,,,,
CUST0169,Cliente 169,Pequena Empresa,Norte,,,,,
CUST0170,Cliente 170,Média Empresa,Centro-Oeste,SALE0259,2024-12-10 10:37:23.100513,838.98,Produto B,2024-12
CUST0170,Cliente 170,Média Empresa,Centro-Oeste,SALE0393,2024-12-24 10:37:23.100969,2956.54,Serviço X,2024-12
CUST0170,Cliente 170,Média Empresa,Centro-Oeste,SALE0609,2025-02-21 10:37:23.101716,3753.97,Serviço X,2025-02
CUST0171,Cliente 171,Média Empresa,Norte,,,,,
CUST0172,Cliente 172,Pequena Empresa,Norte,SALE0364,2024-11-22 10:37:23.100872,1623.9,Produto A,2024-11
CUST0172,Cliente 172,Pequena Empresa,Norte,SALE0555,2024-10-21 10:37:23.101488,4982.43,Serviço X,2024-10
CUST0173,Cliente 173,Média Empresa,Sudeste,,,,,
CUST0174,Cliente 174,Pequena Empresa,Sul,,,,,
CUST0175,Cliente 175,Média Empresa,Norte,SALE0523,2025-03-11 10:37:23.101384,2989.07,Produto B,2025-03
CUST0176,Cliente 176,Pequena Empresa,Norte,SALE0120,2025-05-08 10:37:23.100048,112.35,Produto B,2025-05
CUST0176,Cliente 176,Pequena Empresa,Norte,SALE0483,2025-01-13 10:37:23.101257,3789.38,Produto A,2025-01
CUST0177,Cliente 177,Média Empresa,Nordeste,SALE0491,2025-03-22 10:37:23.101283,2596.3,Serviço Y,2025-03
CUST0178,Cliente 178,Pequena Empresa,Sul,SALE0190,2025-06-22 10:37:23.100295,2989.68,Serviço X,2025-06
CUST0178,Cliente 178,Pequena Empresa,Sul,SALE0605,2025-04-21 10:37:23.101696,1116.57,Produto A,2025-04
CUST0179,Cliente 179,Autônomo,Nordeste,SALE0370,2024-11-26 10:37:23.100891,4612.86,Serviço Y,2024-11
CUST0179,Cliente 179,Autônomo,Nordeste,SALE0623,2025-02-14 10:37:23.101786,3171.08,Produto A,2025-02
CUST0180,Cliente 180,Pequena Empresa,Sul,SALE0055,2025-06-24 10:37:23.099796,1752.08,Serviço X,2025-06
CUST0181,Cliente 181,Pequena Empresa,Nordeste,SALE0306,2024-12-30 10:37:23.100675,2257.44,Produto A,2024-12
CUST0181,Cliente 181,Pequena Empresa,Nordeste,SALE0704,2025-03-17 10:37:23.102066,1651.96,Serviço X,2025-03
CUST0182,Cliente 182,Pequena Empresa,Norte,SALE0134,2024-10-19 10:37:23.100119,4178.92,Produto B,2024-10
CUST0183,Cliente 183,Autônomo,Norte,,,,,
CUST0184,Cliente 184,Grande Empresa,Sudeste,SALE0077,2025-01-09 10:37:23.099866,2756.06,Serviço X,2025-01
CUST0184,Cliente 184,Grande Empresa,Sudeste,SALE0147,2025-05-08 10:37:23.100160,1803.52,Produto A,2025-05
CUST0185,Cliente 185,Pequena Empresa,Nordeste,SALE0650,2025-06-21 10:37:23.101895,1961.38,Serviço X,2025-06
CUST0186,Cliente 186,Média Empresa,Centro-Oeste,SALE0439,2025-03-10 10:37:23.101115,1340.14,Produto A,2025-03
CUST0187,Cliente 187,Grande Empresa,Sudeste,SALE0593,2025-06-03 10:37:23.101636,3903.89,Produto B,2025-06
CUST0188,Cliente 188,Média Empresa,Nordeste,,,,,
CUST0189,Cliente 189,Média Empresa,Nordeste,,,,,
CUST0190,Cliente 190,Pequena Empresa,Sudeste,SALE0196,2025-01-27 10:37:23.100314,3371.43,Serviço X,2025-01
CUST0191,Cliente 191,Pequena Empresa,Norte,,,,,
CUST0192,Cliente 192,Grande Empresa,Nordeste,SALE0366,2025-03-26 10:37:23.100879,2580.93,Produto B,2025-03
CUST0193,Cliente 193,Autônomo,Norte,SALE0771,2025-01-04 10:37:23.102280,1738.03,Produto B,2025-01
CUST0194,Cliente 194,Média Empresa,Sudeste,,,,,
CUST0195,Cliente 195,Pequena Empresa,Norte,,,,,
CUST0196,Cliente 196,Pequena Empresa,Sul,SALE0412,2025-05-13 10:37:23.101030,2638.76,Produto B,2025-05
CUST0197,Cliente 197,Grande Empresa,Centro-Oeste,SALE0714,2025-07-28 10:37:23.102097,1288.72,Serviço Y,2025-07
CUST0198,Cliente 198,Grande Empresa,Nordeste,,,,,
CUST0199,Cliente 199,Grande Empresa,Centro-Oeste,,,,,
CUST0200,Cliente 200,Grande Empresa,Norte,,,,,
CUST0201,Cliente 201,Média Empresa,Nordeste,,,,,
CUST0202,Cliente 202,Pequena Empresa,Norte,SALE0003,2025-03-13 10:37:23.099620,2363.42,Produto A,2025-03
CUST0203,Cliente 203,Pequena Empresa,Sul,,,,,
CUST0204,Cliente 204,Grande Empresa,Sudeste,,,,,
CUST0205,Cliente 205,Média Empresa,Nordeste,SALE0449,2025-02-15 10:37:23.101147,4201.59,Serviço Y,2025-02
CUST0206,Cliente 206,Pequena Empresa,Sul,,,,,
CUST0207,Cliente 207,Pequena Empresa,Sul,SALE0468,2025-02-20 10:37:23.101208,3908.9,Serviço X,2025-02
CUST0208,Cliente 208,Média Empresa,Nordeste,SALE0426,2025-02-10 10:37:23.101074,1128.63,Produto B,2025-02
CUST0208,Cliente 208,Média Empresa,Nordeste,SALE0447,2025-05-22 10:37:23.101141,4218.02,Produto A,2025-05
CUST0209,Cliente 209,Pequena Empresa,Norte,,,,,
CUST0210,Cliente 210,Pequena Empresa,Sul,,,,,
CUST0211,Cliente 211,Média Empresa,Centro-Oeste,SALE0123,2024-12-28 10:37:23.100058,318.64,Produto B,2024-12
CUST0212,Cliente 212,Média Empresa,Sul,SALE0736,2025-03-04 10:37:23.102169,3758.72,Produto A,2025-03
CUST0213,Cliente 213,Média Empresa,Norte,SALE0320,2025-02-13 10:37:23.100732,1823.53,Serviço X,2025-02
CUST0214,Cliente 214,Pequena Empresa,Norte,,,,,
CUST0215,Cliente 215,Grande Empresa,Centro-Oeste,SALE0508,2025-01-20 10:37:23.101336,238.69,Produto B,2025-01
CUST0216,Cliente 216,Pequena Empresa,Sul,,,,,
CUST0217,Cliente 217,Pequena Empresa,Norte,SALE0011,2025-06-08 10:37:23.099651,3168.11,Serviço X,2025-06
CUST0217,Cliente 217,Pequena Empresa,Norte,SALE0787,2025-06-12 10:37:23.102330,1001.26,Serviço Y,2025-06
CUST0218,Cliente 218,Grande Empresa,Nordeste,SALE0271,2025-01-21 10:37:23.100551,3230.53,Produto B,2025-01
CUST0219,Cliente 219,Média Empresa,Sudeste,,,,,
CUST0220,Cliente 220,Grande Empresa,Sudeste,,,,,
CUST0221,Cliente 221,Média Empresa,Sudeste,SALE0333,2025-07-22 10:37:23.100774,867.61,Serviço Y,2025-07
CUST0221,Cliente 221,Média Empresa,Sudeste,SALE0386,2025-05-12 10:37:23.100946,2599.67,Produto A,2025-05
CUST0221,Cliente 221,Média Empresa,Sudeste,SALE0679,2025-04-11 10:37:23.101988,50.92,Produto B,2025-04
CUST0222,Cliente 222,Média Empresa,Sul,,,,,
CUST0223,Cliente 223,Pequena Empresa,Centro-Oeste,,,,,
CUST0224,Cliente 224,Pequena Empresa,Norte,,,,,
CUST0225,Cliente 225,Pequena Empresa,Nordeste,,,,,
CUST0226,Cliente 226,Pequena Empresa,Nordeste,,,,,
CUST0227,Cliente 227,Autônomo,Sul,SALE0074,2024-11-09 10:37:23.099856,3688.36,Serviço X,2024-11
CUST0227,Cliente 227,Autônomo,Sul,SALE0348,2025-05-12 10:37:23.100821,1509.58,Serviço X,2025-05
CUST0228,Cliente 228,Pequena Empresa,Sudeste,SALE0462,2025-02-09 10:37:23.101189,3368.08,Produto B,2025-02
CUST0229,Cliente 229,Grande Empresa,Sul,,,,,
CUST0230,Cliente 230,Média Empresa,Centro-Oeste,,,,,
