contact_id,customer_id,contact_type,contact_date,contact_outcome,contact_month
CONT0104,CUST0226,Chat,2025-02-18 10:37:23.086458,Sucesso,2025-02
CONT0105,CUST0523,Email,2024-10-04 10:37:23.086462,Sucesso,2024-10
CONT0106,CUST0522,Telefone,2025-01-15 10:37:23.086467,Sucesso,2025-01
CONT0107,CUST0783,Reunião,2025-06-12 10:37:23.086471,Sucesso,2025-06
CONT0108,CUST0273,Reunião,2025-01-11 10:37:23.086475,Falha,2025-01
CONT0109,CUST0936,Telefone,2025-06-27 10:37:23.086480,Falha,2025-06
CONT0110,CUST0402,Email,2025-07-06 10:37:23.086484,Sucesso,2025-07
CONT0111,CUST0183,Email,2025-07-23 10:37:23.086489,Falha,2025-07
CONT0112,CUST0969,Reunião,2025-06-06 10:37:23.086493,Sucesso,2025-06
CONT0113,CUST0665,Reunião,2025-03-05 10:37:23.086498,Sucesso,2025-03
CONT0114,CUST0488,Email,2024-10-27 10:37:23.086502,Sucesso,2024-10
CONT0115,CUST0827,Email,2025-01-10 10:37:23.086506,Sucesso,2025-01
CONT0116,CUST0846,Chat,2024-09-21 10:37:23.086511,Sucesso,2024-09
CONT0117,CUST0124,Reunião,2025-02-01 10:37:23.086515,Sucesso,2025-02
CONT0118,CUST0985,Chat,2025-03-30 10:37:23.086520,Sucesso,2025-03
CONT0119,CUST0626,Reunião,2025-04-02 10:37:23.086524,Falha,2025-04
CONT0120,CUST0790,Email,2024-10-19 10:37:23.086529,Sucesso,2024-10
CONT0121,CUST0414,Telefone,2025-04-15 10:37:23.086533,Sucesso,2025-04
CONT0122,CUST0980,Telefone,2025-01-20 10:37:23.086537,Sucesso,2025-01
CONT0123,CUST0725,Email,2025-07-25 10:37:23.086542,Sucesso,2025-07
CONT0124,CUST0172,Telefone,2024-11-09 10:37:23.086546,Sucesso,2024-11
CONT0125,CUST0288,Reunião,2025-05-10 10:37:23.086551,Sucesso,2025-05
CONT0126,CUST0435,Email,2025-01-04 10:37:23.086568,Sucesso,2025-01
CONT0127,CUST0686,Reunião,2024-11-02 10:37:23.086572,Falha,2024-11
CONT0128,CUST0113,Telefone,2025-01-16 10:37:23.086577,Sucesso,2025-01
CONT0129,CUST0888,Chat,2025-05-25 10:37:23.086582,Não Atendido,2025-05
CONT0130,CUST0917,Email,2025-07-13 10:37:23.086586,Sucesso,2025-07
CONT0131,CUST0995,Email,2025-04-28 10:37:23.086591,Sucesso,2025-04
CONT0132,CUST0122,Telefone,2025-02-12 10:37:23.086595,Sucesso,2025-02
CONT0133,CUST0544,Email,2025-04-12 10:37:23.086599,Sucesso,2025-04
CONT0134,CUST0222,Reunião,2025-02-22 10:37:23.086604,Sucesso,2025-02
CONT0135,CUST0631,Reunião,2025-06-27 10:37:23.086608,Sucesso,2025-06
CONT0136,CUST0039,Email,2024-08-28 10:37:23.086613,Falha,2024-08
CONT0137,CUST0497,Telefone,2025-04-09 10:37:23.086617,Não Atendido,2025-04
CONT0138,CUST0780,Telefone,2025-05-02 10:37:23.086622,Sucesso,2025-05
CONT0139,CUST0233,Email,2025-03-15 10:37:23.086626,Sucesso,2025-03
CONT0140,CUST0943,Chat,2025-01-03 10:37:23.086631,Sucesso,2025-01
CONT0141,CUST0530,Reunião,2024-12-21 10:37:23.086635,Sucesso,2024-12
CONT0142,CUST0149,Telefone,2024-09-28 10:37:23.086639,Falha,2024-09
CONT0143,CUST0397,Reunião,2025-03-30 10:37:23.086644,Falha,2025-03
CONT0144,CUST0661,Telefone,2024-08-20 10:37:23.086648,Falha,2024-08
CONT0145,CUST0638,Chat,2024-09-23 10:37:23.086653,Sucesso,2024-09
CONT0146,CUST0904,Telefone,2025-03-23 10:37:23.086657,Sucesso,2025-03
CONT0147,CUST0302,Reunião,2024-09-17 10:37:23.086662,Sucesso,2024-09
CONT0148,CUST0360,Reunião,2024-09-04 10:37:23.086666,Não Atendido,2024-09
CONT0149,CUST0238,Email,2024-11-07 10:37:23.086671,Sucesso,2024-11
CONT0150,CUST0647,Reunião,2025-04-12 10:37:23.086676,Sucesso,2025-04
CONT0151,CUST0663,Email,2024-10-05 10:37:23.086680,Sucesso,2024-10
CONT0152,CUST0236,Email,2025-05-05 10:37:23.086685,Falha,2025-05
CONT0153,CUST0736,Email,2025-02-20 10:37:23.086689,Sucesso,2025-02
CONT0154,CUST0203,Chat,2025-01-16 10:37:23.086693,Sucesso,2025-01
CONT0155,CUST0256,Reunião,2024-08-31 10:37:23.086698,Não Atendido,2024-08
CONT0156,CUST0598,Reunião,2025-03-11 10:37:23.086702,Não Atendido,2025-03
CONT0157,CUST0662,Reunião,2025-02-05 10:37:23.086707,Sucesso,2025-02
CONT0158,CUST0235,Telefone,2025-03-08 10:37:23.086711,Sucesso,2025-03
CONT0159,CUST0345,Chat,2025-05-25 10:37:23.086716,Falha,2025-05
CONT0160,CUST0534,Telefone,2024-11-06 10:37:23.086720,Não Atendido,2024-11
CONT0161,CUST0860,Email,2025-06-26 10:37:23.086725,Sucesso,2025-06
CONT0162,CUST0797,Email,2025-01-07 10:37:23.086729,Sucesso,2025-01
CONT0163,CUST0781,Reunião,2025-04-28 10:37:23.086733,Sucesso,2025-04
CONT0164,CUST0466,Reunião,2025-06-23 10:37:23.086738,Falha,2025-06
CONT0165,CUST0770,Email,2025-05-17 10:37:23.086742,Sucesso,2025-05
CONT0166,CUST0541,Email,2025-07-21 10:37:23.086747,Sucesso,2025-07
CONT0167,CUST0213,Reunião,2025-05-26 10:37:23.086751,Sucesso,2025-05
CONT0168,CUST0463,Email,2025-07-24 10:37:23.086755,Não Atendido,2025-07
CONT0169,CUST0436,Reunião,2025-03-03 10:37:23.086760,Sucesso,2025-03
CONT0170,CUST0283,Chat,2024-12-27 10:37:23.086764,Sucesso,2024-12
CONT0171,CUST0562,Telefone,2025-03-28 10:37:23.086769,Sucesso,2025-03
CONT0172,CUST0607,Email,2024-09-03 10:37:23.086773,Sucesso,2024-09
CONT0173,CUST0463,Reunião,2025-06-21 10:37:23.086777,Sucesso,2025-06
CONT0174,CUST0407,Reunião,2025-04-22 10:37:23.086782,Falha,2025-04
CONT0175,CUST0088,Telefone,2025-04-21 10:37:23.086787,Sucesso,2025-04
CONT0176,CUST0044,Chat,2024-11-15 10:37:23.086791,Não Atendido,2024-11
CONT0177,CUST0461,Email,2025-01-14 10:37:23.086796,Sucesso,2025-01
CONT0178,CUST0278,Telefone,2025-05-20 10:37:23.086803,Sucesso,2025-05
CONT0179,CUST0683,Reunião,2025-03-05 10:37:23.086807,Sucesso,2025-03
CONT0180,CUST0421,Reunião,2024-11-09 10:37:23.086812,Sucesso,2024-11
CONT0181,CUST0701,Email,2024-12-03 10:37:23.086816,Sucesso,2024-12
CONT0182,CUST0353,Reunião,2025-07-19 10:37:23.086821,Falha,2025-07
CONT0183,CUST0696,Telefone,2024-08-26 10:37:23.086825,Falha,2024-08
CONT0184,CUST0515,Email,2025-07-12 10:37:23.086829,Sucesso,2025-07
CONT0185,CUST0703,Email,2025-01-02 10:37:23.086834,Não Atendido,2025-01
CONT0186,CUST0630,Reunião,2025-03-06 10:37:23.086838,Sucesso,2025-03
CONT0187,CUST0019,Email,2025-03-06 10:37:23.086843,Falha,2025-03
CONT0188,CUST0023,Email,2025-02-14 10:37:23.086847,Sucesso,2025-02
CONT0189,CUST0413,Email,2025-05-07 10:37:23.086851,Sucesso,2025-05
CONT0190,CUST0030,Reunião,2024-09-03 10:37:23.086856,Falha,2024-09
CONT0191,CUST0807,Telefone,2025-02-07 10:37:23.086860,Sucesso,2025-02
CONT0192,CUST0108,Reunião,2025-03-29 10:37:23.086865,Sucesso,2025-03
CONT0193,CUST0367,Email,2024-10-13 10:37:23.086869,Sucesso,2024-10
CONT0194,CUST0281,Telefone,2024-11-05 10:37:23.086874,Sucesso,2024-11
CONT0195,CUST0128,Telefone,2024-11-07 10:37:23.086878,Falha,2024-11
CONT0196,CUST0229,Reunião,2025-05-23 10:37:23.086883,Sucesso,2025-05
CONT0197,CUST0111,Chat,2025-02-11 10:37:23.086887,Não Atendido,2025-02
CONT0198,CUST0136,Email,2025-02-04 10:37:23.086892,Sucesso,2025-02
CONT0199,CUST0362,Telefone,2024-09-22 10:37:23.086896,Sucesso,2024-09
CONT0200,CUST0186,Email,2025-03-29 10:37:23.086900,Falha,2025-03
CONT0201,CUST0656,Telefone,2024-08-09 10:37:23.086905,Sucesso,2024-08
CONT0202,CUST0584,Email,2025-06-19 10:37:23.086910,Não Atendido,2025-06
CONT0203,CUST0129,Email,2025-06-13 10:37:23.086944,Sucesso,2025-06
CONT0204,CUST0876,Email,2025-03-06 10:37:23.086948,Sucesso,2025-03
CONT0205,CUST0261,Telefone,2024-08-17 10:37:23.086953,Sucesso,2024-08
CONT0206,CUST0515,Email,2025-01-19 10:37:23.086957,Sucesso,2025-01
CONT0207,CUST0449,Reunião,2024-10-03 10:37:23.086962,Sucesso,2024-10
CONT0208,CUST0900,Telefone,2024-08-16 10:37:23.086966,Falha,2024-08
CONT0209,CUST0104,Email,2025-04-11 10:37:23.086971,Sucesso,2025-04
CONT0210,CUST0483,Reunião,2024-11-17 10:37:23.086975,Sucesso,2024-11
CONT0211,CUST0224,Email,2025-06-22 10:37:23.086980,Sucesso,2025-06
CONT0212,CUST0832,Telefone,2024-10-09 10:37:23.086984,Sucesso,2024-10
CONT0213,CUST0874,Telefone,2024-08-16 10:37:23.086989,Sucesso,2024-08
CONT0214,CUST0866,Email,2025-01-30 10:37:23.086993,Falha,2025-01
CONT0215,CUST0491,Email,2024-10-01 10:37:23.086998,Falha,2024-10
CONT0216,CUST0473,Email,2024-09-23 10:37:23.087002,Falha,2024-09
CONT0217,CUST0010,Chat,2025-03-31 10:37:23.087007,Falha,2025-03
CONT0218,CUST0405,Telefone,2025-06-19 10:37:23.087011,Sucesso,2025-06
CONT0219,CUST0896,Telefone,2025-07-13 10:37:23.087016,Falha,2025-07
CONT0220,CUST0302,Telefone,2024-11-14 10:37:23.087020,Sucesso,2024-11
CONT0221,CUST0231,Email,2025-04-11 10:37:23.087025,Sucesso,2025-04
CONT0222,CUST0731,Telefone,2025-03-16 10:37:23.087029,Sucesso,2025-03
CONT0223,CUST0923,Reunião,2025-01-19 10:37:23.087033,Sucesso,2025-01
CONT0224,CUST0066,Email,2025-03-03 10:37:23.087038,Falha,2025-03
CONT0225,CUST0937,Email,2024-08-24 10:37:23.087042,Sucesso,2024-08
CONT0226,CUST0112,Email,2025-03-26 10:37:23.087047,Falha,2025-03
CONT0227,CUST0013,Telefone,2025-03-12 10:37:23.087051,Sucesso,2025-03
CONT0228,CUST0393,Chat,2024-09-05 10:37:23.087056,Sucesso,2024-09
CONT0229,CUST0500,Email,2025-05-28 10:37:23.087060,Falha,2025-05
CONT0230,CUST0932,Telefone,2024-12-17 10:37:23.087065,Sucesso,2024-12
CONT0231,CUST0598,Email,2024-09-07 10:37:23.087069,Sucesso,2024-09
CONT0232,CUST0234,Chat,2024-10-12 10:37:23.087074,Sucesso,2024-10
CONT0233,CUST0602,Email,2025-03-06 10:37:23.087078,Sucesso,2025-03
CONT0234,CUST0314,Telefone,2025-05-09 10:37:23.087083,Sucesso,2025-05
CONT0235,CUST0566,Reunião,2024-09-07 10:37:23.087088,Sucesso,2024-09
CONT0236,CUST0012,Reunião,2025-01-20 10:37:23.087092,Não Atendido,2025-01
CONT0237,CUST0209,Telefone,2025-02-27 10:37:23.087097,Falha,2025-02
CONT0238,CUST0974,Email,2025-07-12 10:37:23.087101,Falha,2025-07
CONT0239,CUST0014,Email,2025-04-08 10:37:23.087106,Falha,2025-04
CONT0240,CUST0633,Email,2024-10-10 10:37:23.087110,Sucesso,2024-10
CONT0241,CUST0418,Email,2025-01-07 10:37:23.087115,Sucesso,2025-01
CONT0242,CUST0437,Telefone,2025-06-05 10:37:23.087119,Sucesso,2025-06
CONT0243,CUST0377,Email,2025-05-31 10:37:23.087123,Sucesso,2025-05
CONT0244,CUST0020,Email,2024-11-27 10:37:23.087128,Não Atendido,2024-11
CONT0245,CUST0587,Telefone,2025-08-05 10:37:23.087132,Sucesso,2025-08
CONT0246,CUST0912,Chat,2025-04-21 10:37:23.087137,Sucesso,2025-04
CONT0247,CUST0755,Telefone,2024-10-25 10:37:23.087141,Sucesso,2024-10
CONT0248,CUST0735,Email,2025-06-19 10:37:23.087146,Sucesso,2025-06
CONT0249,CUST0070,Email,2025-03-20 10:37:23.087150,Sucesso,2025-03
CONT0250,CUST0824,Chat,2025-01-01 10:37:23.087154,Sucesso,2025-01
CONT0251,CUST0211,Email,2025-06-24 10:37:23.087159,Sucesso,2025-06
CONT0252,CUST0101,Email,2024-11-11 10:37:23.087163,Sucesso,2024-11
CONT0253,CUST0698,Telefone,2025-05-21 10:37:23.087168,Sucesso,2025-05
CONT0254,CUST0132,Telefone,2025-01-03 10:37:23.087172,Sucesso,2025-01
CONT0255,CUST0623,Telefone,2025-05-01 10:37:23.087177,Falha,2025-05
CONT0256,CUST0381,Email,2024-12-14 10:37:23.087181,Sucesso,2024-12
CONT0257,CUST0132,Email,2024-10-29 10:37:23.087186,Sucesso,2024-10
CONT0258,CUST0020,Chat,2025-03-11 10:37:23.087190,Não Atendido,2025-03
CONT0259,CUST0906,Email,2024-10-07 10:37:23.087195,Sucesso,2024-10
CONT0260,CUST0536,Telefone,2025-06-02 10:37:23.087200,Falha,2025-06
CONT0261,CUST0227,Reunião,2024-12-16 10:37:23.087204,Não Atendido,2024-12
CONT0262,CUST0154,Telefone,2025-05-12 10:37:23.087209,Sucesso,2025-05
CONT0263,CUST0805,Email,2025-05-20 10:37:23.087216,Falha,2025-05
CONT0264,CUST0742,Email,2025-01-14 10:37:23.087220,Falha,2025-01
CONT0265,CUST0469,Telefone,2024-11-01 10:37:23.087225,Sucesso,2024-11
CONT0266,CUST0822,Reunião,2024-09-04 10:37:23.087230,Sucesso,2024-09
CONT0267,CUST1000,Chat,2024-11-26 10:37:23.087234,Não Atendido,2024-11
CONT0268,CUST0871,Email,2024-10-07 10:37:23.087239,Falha,2024-10
CONT0269,CUST0405,Email,2025-03-30 10:37:23.087243,Sucesso,2025-03
CONT0270,CUST0202,Chat,2025-05-15 10:37:23.087248,Sucesso,2025-05
CONT0271,CUST0038,Reunião,2024-11-04 10:37:23.087253,Falha,2024-11
CONT0272,CUST0942,Reunião,2025-02-01 10:37:23.087257,Sucesso,2025-02
CONT0273,CUST0772,Email,2025-06-22 10:37:23.087262,Sucesso,2025-06
CONT0274,CUST0188,Telefone,2025-02-05 10:37:23.087266,Falha,2025-02
CONT0275,CUST0057,Reunião,2024-11-12 10:37:23.087271,Sucesso,2024-11
CONT0276,CUST0941,Telefone,2024-10-15 10:37:23.087275,Sucesso,2024-10
CONT0277,CUST0020,Telefone,2024-09-19 10:37:23.087280,Falha,2024-09
CONT0278,CUST0273,Email,2025-04-29 10:37:23.087284,Falha,2025-04
CONT0279,CUST0119,Telefone,2025-05-21 10:37:23.087289,Sucesso,2025-05
CONT0280,CUST0583,Email,2024-11-08 10:37:23.087293,Sucesso,2024-11
CONT0281,CUST0516,Telefone,2024-09-02 10:37:23.087298,Sucesso,2024-09
CONT0282,CUST0221,Chat,2025-02-26 10:37:23.087302,Não Atendido,2025-02
CONT0283,CUST0526,Email,2025-06-24 10:37:23.087308,Sucesso,2025-06
CONT0284,CUST0515,Reunião,2024-12-12 10:37:23.087312,Sucesso,2024-12
CONT0285,CUST0728,Email,2025-03-26 10:37:23.087317,Sucesso,2025-03
CONT0286,CUST0741,Telefone,2025-01-27 10:37:23.087321,Falha,2025-01
CONT0287,CUST0336,Chat,2024-08-16 10:37:23.087326,Sucesso,2024-08
CONT0288,CUST0698,Email,2024-11-02 10:37:23.087330,Sucesso,2024-11
CONT0289,CUST0055,Email,2025-07-20 10:37:23.087335,Sucesso,2025-07
CONT0290,CUST0500,Telefone,2025-07-26 10:37:23.087339,Falha,2025-07
CONT0291,CUST0900,Email,2025-02-08 10:37:23.087344,Sucesso,2025-02
CONT0292,CUST0888,Reunião,2025-04-06 10:37:23.087348,Sucesso,2025-04
CONT0293,CUST0766,Chat,2024-12-04 10:37:23.087353,Sucesso,2024-12
CONT0294,CUST0536,Telefone,2024-12-28 10:37:23.087357,Falha,2024-12
CONT0295,CUST0162,Email,2025-06-17 10:37:23.087361,Sucesso,2025-06
CONT0296,CUST0670,Telefone,2025-05-28 10:37:23.087366,Sucesso,2025-05
CONT0297,CUST0594,Reunião,2025-06-20 10:37:23.087370,Sucesso,2025-06
CONT0298,CUST0915,Email,2025-07-19 10:37:23.087375,Não Atendido,2025-07
CONT0299,CUST0159,Telefone,2024-11-18 10:37:23.087379,Sucesso,2024-11
CONT0300,CUST0188,Telefone,2025-05-15 10:37:23.087384,Não Atendido,2025-05
CONT0301,CUST0060,Telefone,2025-03-05 10:37:23.087388,Falha,2025-03
CONT0302,CUST0915,Email,2025-06-15 10:37:23.087393,Sucesso,2025-06
CONT0303,CUST0817,Reunião,2025-04-22 10:37:23.087397,Sucesso,2025-04
CONT0304,CUST0319,Email,2024-08-15 10:37:23.087402,Sucesso,2024-08
CONT0305,CUST0878,Email,2024-10-07 10:37:23.087406,Sucesso,2024-10
CONT0306,CUST0211,Reunião,2025-03-25 10:37:23.087411,Sucesso,2025-03
CONT0307,CUST0406,Reunião,2025-05-30 10:37:23.087415,Sucesso,2025-05
CONT0308,CUST0664,Email,2025-07-27 10:37:23.087420,Não Atendido,2025-07
CONT0309,CUST0109,Email,2025-03-17 10:37:23.087424,Sucesso,2025-03
CONT0310,CUST0076,Email,2025-01-27 10:37:23.087429,Falha,2025-01
CONT0311,CUST0542,Email,2025-05-30 10:37:23.087433,Sucesso,2025-05
CONT0312,CUST0314,Email,2025-07-15 10:37:23.087438,Sucesso,2025-07
CONT0313,CUST0998,Email,2025-02-07 10:37:23.087442,Falha,2025-02
CONT0314,CUST0117,Telefone,2024-10-18 10:37:23.087447,Sucesso,2024-10
CONT0315,CUST0927,Reunião,2025-07-29 10:37:23.087451,Falha,2025-07
CONT0316,CUST0868,Telefone,2024-11-09 10:37:23.087456,Sucesso,2024-11
CONT0317,CUST0704,Telefone,2025-05-06 10:37:23.087460,Sucesso,2025-05
CONT0318,CUST0019,Email,2025-07-21 10:37:23.087465,Falha,2025-07
CONT0319,CUST0432,Chat,2025-03-06 10:37:23.087469,Sucesso,2025-03
CONT0320,CUST0685,Reunião,2024-09-13 10:37:23.087474,Sucesso,2024-09
CONT0321,CUST0740,Reunião,2025-03-11 10:37:23.087478,Não Atendido,2025-03
CONT0322,CUST0350,Reunião,2024-11-13 10:37:23.087483,Sucesso,2024-11
CONT0323,CUST0183,Chat,2024-09-13 10:37:23.087487,Não Atendido,2024-09
CONT0324,CUST0113,Telefone,2025-04-23 10:37:23.087492,Falha,2025-04
CONT0325,CUST0183,Email,2025-07-03 10:37:23.087496,Falha,2025-07
