customer_id,customer_name,segment,region,contact_id,contact_type,contact_date,contact_outcome,contact_month
CUST0023,Cliente 23,Pequena Empresa,Sul,CONT1652,Telefone,2024-11-22 10:37:23.093809,Sucesso,2024-11
CUST0024,Cliente 24,Pequena Empresa,Nordeste,,,,,
CUST0025,Cliente 25,Média Empresa,Norte,CONT1458,Email,2024-09-30 10:37:23.093101,Falha,2024-09
CUST0025,Cliente 25,Média Empresa,Norte,CONT1872,Email,2024-12-18 10:37:23.094635,Sucesso,2024-12
CUST0026,Cliente 26,Grande Empresa,Sul,CONT0575,Email,2025-06-26 10:37:23.088666,Sucesso,2025-06
CUST0026,Cliente 26,Grande Empresa,Sul,CONT0927,Telefone,2024-11-11 10:37:23.090298,Sucesso,2024-11
CUST0026,Cliente 26,Grande Empresa,Sul,CONT1871,Email,2024-11-07 10:37:23.094632,Sucesso,2024-11
CUST0027,Cliente 27,Pequena Empresa,Centro-Oeste,CONT1530,Email,2025-02-18 10:37:23.093398,Não Atendido,2025-02
CUST0028,Cliente 28,Média Empresa,Nordeste,CONT0508,Email,2025-01-31 10:37:23.088344,Sucesso,2025-01
CUST0028,Cliente 28,Média Empresa,Nordeste,CONT1722,Email,2024-09-24 10:37:23.094039,Sucesso,2024-09
CUST0029,Cliente 29,Média Empresa,Sul,,,,,
CUST0030,Cliente 30,Pequena Empresa,Nordeste,CONT0190,Reunião,2024-09-03 10:37:23.086856,Falha,2024-09
CUST0030,Cliente 30,Pequena Empresa,Nordeste,CONT1155,Email,2024-11-23 10:37:23.091363,Sucesso,2024-11
CUST0030,Cliente 30,Pequena Empresa,Nordeste,CONT1572,Email,2025-04-23 10:37:23.093537,Não Atendido,2025-04
CUST0031,Cliente 31,Média Empresa,Sul,CONT1216,Reunião,2024-12-30 10:37:23.091684,Sucesso,2024-12
CUST0031,Cliente 31,Média Empresa,Sul,CONT1549,Telefone,2025-03-27 10:37:23.093463,Sucesso,2025-03
CUST0031,Cliente 31,Média Empresa,Sul,CONT1698,Email,2025-01-03 10:37:23.093959,Sucesso,2025-01
CUST0032,Cliente 32,Pequena Empresa,Sudeste,CONT0551,Reunião,2024-10-02 10:37:23.088546,Sucesso,2024-10
CUST0033,Cliente 33,Pequena Empresa,Nordeste,CONT1803,Telefone,2025-05-22 10:37:23.094402,Sucesso,2025-05
CUST0034,Cliente 34,Autônomo,Centro-Oeste,,,,,
CUST0035,Cliente 35,Autônomo,Centro-Oeste,CONT0889,Chat,2025-04-21 10:37:23.090126,Sucesso,2025-04
CUST0035,Cliente 35,Autônomo,Centro-Oeste,CONT0908,Email,2024-09-27 10:37:23.090212,Falha,2024-09
CUST0035,Cliente 35,Autônomo,Centro-Oeste,CONT1253,Reunião,2025-01-07 10:37:23.091894,Sucesso,2025-01
CUST0036,Cliente 36,Grande Empresa,Norte,,,,,
CUST0037,Cliente 37,Pequena Empresa,Sul,,,,,
CUST0038,Cliente 38,Pequena Empresa,Nordeste,CONT0271,Reunião,2024-11-04 10:37:23.087253,Falha,2024-11
CUST0039,Cliente 39,Média Empresa,Norte,CONT0136,Email,2024-08-28 10:37:23.086613,Falha,2024-08
CUST0040,Cliente 40,Média Empresa,Nordeste,CONT0634,Chat,2024-12-04 10:37:23.088945,Sucesso,2024-12
CUST0041,Cliente 41,Pequena Empresa,Sul,CONT0725,Email,2025-03-13 10:37:23.089363,Sucesso,2025-03
CUST0041,Cliente 41,Pequena Empresa,Sul,CONT0867,Email,2025-08-03 10:37:23.090026,Não Atendido,2025-08
CUST0041,Cliente 41,Pequena Empresa,Sul,CONT1025,Telefone,2025-05-29 10:37:23.090758,Sucesso,2025-05
CUST0041,Cliente 41,Pequena Empresa,Sul,CONT1088,Reunião,2025-06-20 10:37:23.091059,Sucesso,2025-06
CUST0041,Cliente 41,Pequena Empresa,Sul,CONT1165,Email,2024-09-19 10:37:23.091408,Falha,2024-09
CUST0042,Cliente 42,Média Empresa,Centro-Oeste,,,,,
CUST0043,Cliente 43,Pequena Empresa,Sudeste,CONT0026,Chat,2025-08-05 10:37:23.086051,Sucesso,2025-08
CUST0043,Cliente 43,Pequena Empresa,Sudeste,CONT0510,Reunião,2025-07-06 10:37:23.088353,Sucesso,2025-07
CUST0044,Cliente 44,Autônomo,Centro-Oeste,CONT0176,Chat,2024-11-15 10:37:23.086791,Não Atendido,2024-11
CUST0044,Cliente 44,Autônomo,Centro-Oeste,CONT0584,Email,2024-11-24 10:37:23.088707,Falha,2024-11
CUST0044,Cliente 44,Autônomo,Centro-Oeste,CONT1743,Email,2025-01-14 10:37:23.094140,Não Atendido,2025-01
CUST0045,Cliente 45,Pequena Empresa,Norte,CONT1497,Telefone,2024-08-13 10:37:23.093292,Sucesso,2024-08
CUST0045,Cliente 45,Pequena Empresa,Norte,CONT1830,Reunião,2025-07-31 10:37:23.094491,Sucesso,2025-07
CUST0046,Cliente 46,Média Empresa,Sudeste,,,,,
CUST0047,Cliente 47,Pequena Empresa,Norte,CONT0345,Telefone,2024-08-18 10:37:23.087598,Sucesso,2024-08
CUST0047,Cliente 47,Pequena Empresa,Norte,CONT0754,Telefone,2025-01-21 10:37:23.089495,Sucesso,2025-01
CUST0048,Cliente 48,Média Empresa,Sul,CONT1397,Telefone,2025-04-15 10:37:23.092744,Falha,2025-04
CUST0049,Cliente 49,Média Empresa,Sudeste,CONT0385,Email,2024-10-05 10:37:23.087781,Falha,2024-10
CUST0049,Cliente 49,Média Empresa,Sudeste,CONT0992,Chat,2025-06-28 10:37:23.090606,Falha,2025-06
CUST0049,Cliente 49,Média Empresa,Sudeste,CONT1134,Email,2025-07-28 10:37:23.091268,Falha,2025-07
CUST0049,Cliente 49,Média Empresa,Sudeste,CONT1738,Telefone,2024-09-09 10:37:23.094114,Sucesso,2024-09
CUST0049,Cliente 49,Média Empresa,Sudeste,CONT1888,Telefone,2024-09-13 10:37:23.094689,Sucesso,2024-09
CUST0050,Cliente 50,Pequena Empresa,Norte,CONT0362,Email,2024-11-13 10:37:23.087677,Sucesso,2024-11
CUST0050,Cliente 50,Pequena Empresa,Norte,CONT1949,Telefone,2025-07-29 10:37:23.094884,Sucesso,2025-07
CUST0051,Cliente 51,Autônomo,Sul,,,,,
CUST0052,Cliente 52,Grande Empresa,Centro-Oeste,,,,,
CUST0053,Cliente 53,Autônomo,Sul,CONT1544,Chat,2025-03-27 10:37:23.093447,Sucesso,2025-03
CUST0053,Cliente 53,Autônomo,Sul,CONT1568,Reunião,2025-03-26 10:37:23.093524,Sucesso,2025-03
CUST0053,Cliente 53,Autônomo,Sul,CONT1745,Telefone,2025-02-13 10:37:23.094149,Não Atendido,2025-02
CUST0054,Cliente 54,Grande Empresa,Nordeste,CONT1740,Reunião,2024-11-19 10:37:23.094124,Sucesso,2024-11
CUST0055,Cliente 55,Média Empresa,Sul,CONT0289,Email,2025-07-20 10:37:23.087335,Sucesso,2025-07
CUST0055,Cliente 55,Média Empresa,Sul,CONT1804,Email,2025-03-09 10:37:23.094406,Sucesso,2025-03
CUST0056,Cliente 56,Autônomo,Sul,,,,,
CUST0057,Cliente 57,Pequena Empresa,Nordeste,CONT0275,Reunião,2024-11-12 10:37:23.087271,Sucesso,2024-11
CUST0057,Cliente 57,Pequena Empresa,Nordeste,CONT0528,Reunião,2024-12-10 10:37:23.088440,Sucesso,2024-12
CUST0057,Cliente 57,Pequena Empresa,Nordeste,CONT1442,Email,2025-04-15 10:37:23.093006,Sucesso,2025-04
CUST0058,Cliente 58,Pequena Empresa,Norte,CONT0573,Email,2025-05-21 10:37:23.088657,Falha,2025-05
CUST0059,Cliente 59,Pequena Empresa,Norte,CONT1262,Telefone,2025-06-22 10:37:23.091946,Não Atendido,2025-06
CUST0059,Cliente 59,Pequena Empresa,Norte,CONT1576,Telefone,2024-09-11 10:37:23.093550,Falha,2024-09
CUST0059,Cliente 59,Pequena Empresa,Norte,CONT1832,Email,2024-12-23 10:37:23.094497,Falha,2024-12
CUST0060,Cliente 60,Pequena Empresa,Sul,CONT0301,Telefone,2025-03-05 10:37:23.087388,Falha,2025-03
CUST0061,Cliente 61,Pequena Empresa,Nordeste,,,,,
CUST0062,Cliente 62,Pequena Empresa,Nordeste,CONT0884,Email,2025-02-03 10:37:23.090103,Sucesso,2025-02
CUST0063,Cliente 63,Grande Empresa,Centro-Oeste,CONT0836,Email,2025-03-12 10:37:23.089882,Sucesso,2025-03
CUST0063,Cliente 63,Grande Empresa,Centro-Oeste,CONT1166,Chat,2025-03-05 10:37:23.091412,Sucesso,2025-03
CUST0064,Cliente 64,Pequena Empresa,Norte,CONT1334,Reunião,2025-05-31 10:37:23.092368,Sucesso,2025-05
CUST0065,Cliente 65,Pequena Empresa,Sudeste,CONT0913,Chat,2024-09-15 10:37:23.090235,Falha,2024-09
CUST0065,Cliente 65,Pequena Empresa,Sudeste,CONT1456,Telefone,2024-10-11 10:37:23.093090,Falha,2024-10
CUST0065,Cliente 65,Pequena Empresa,Sudeste,CONT1730,Email,2024-12-25 10:37:23.094074,Sucesso,2024-12
CUST0066,Cliente 66,Média Empresa,Norte,CONT0224,Email,2025-03-03 10:37:23.087038,Falha,2025-03
CUST0066,Cliente 66,Média Empresa,Norte,CONT0529,Telefone,2024-12-22 10:37:23.088445,Sucesso,2024-12
CUST0066,Cliente 66,Média Empresa,Norte,CONT0578,Telefone,2025-07-05 10:37:23.088680,Sucesso,2025-07
CUST0066,Cliente 66,Média Empresa,Norte,CONT0749,Email,2025-03-04 10:37:23.089472,Sucesso,2025-03
CUST0066,Cliente 66,Média Empresa,Norte,CONT1503,Email,2025-06-22 10:37:23.093311,Falha,2025-06
CUST0067,Cliente 67,Pequena Empresa,Norte,,,,,
CUST0068,Cliente 68,Grande Empresa,Centro-Oeste,CONT0557,Email,2024-08-19 10:37:23.088584,Sucesso,2024-08
CUST0068,Cliente 68,Grande Empresa,Centro-Oeste,CONT0869,Reunião,2025-01-15 10:37:23.090035,Sucesso,2025-01
CUST0068,Cliente 68,Grande Empresa,Centro-Oeste,CONT1270,Email,2025-07-14 10:37:23.091993,Sucesso,2025-07
CUST0068,Cliente 68,Grande Empresa,Centro-Oeste,CONT1882,Email,2024-09-03 10:37:23.094669,Falha,2024-09
CUST0069,Cliente 69,Pequena Empresa,Sudeste,CONT1271,Telefone,2025-07-10 10:37:23.091998,Sucesso,2025-07
CUST0070,Cliente 70,Autônomo,Centro-Oeste,CONT0249,Email,2025-03-20 10:37:23.087150,Sucesso,2025-03
CUST0070,Cliente 70,Autônomo,Centro-Oeste,CONT0455,Reunião,2024-08-29 10:37:23.088102,Sucesso,2024-08
CUST0071,Cliente 71,Grande Empresa,Sudeste,,,,,
CUST0072,Cliente 72,Pequena Empresa,Sul,CONT0611,Reunião,2025-04-24 10:37:23.088835,Sucesso,2025-04
CUST0073,Cliente 73,Pequena Empresa,Sudeste,CONT0837,Telefone,2024-09-20 10:37:23.089887,Falha,2024-09
CUST0073,Cliente 73,Pequena Empresa,Sudeste,CONT1151,Telefone,2024-11-26 10:37:23.091345,Sucesso,2024-11
CUST0074,Cliente 74,Grande Empresa,Centro-Oeste,CONT0387,Chat,2025-07-18 10:37:23.087790,Sucesso,2025-07
CUST0074,Cliente 74,Grande Empresa,Centro-Oeste,CONT1555,Email,2024-08-19 10:37:23.093482,Não Atendido,2024-08
CUST0075,Cliente 75,Grande Empresa,Norte,CONT0352,Email,2025-01-22 10:37:23.087632,Sucesso,2025-01
CUST0075,Cliente 75,Grande Empresa,Norte,CONT0730,Email,2025-05-02 10:37:23.089386,Sucesso,2025-05
CUST0075,Cliente 75,Grande Empresa,Norte,CONT1169,Email,2025-02-02 10:37:23.091427,Sucesso,2025-02
CUST0075,Cliente 75,Grande Empresa,Norte,CONT1227,Chat,2024-10-09 10:37:23.091746,Falha,2024-10
CUST0075,Cliente 75,Grande Empresa,Norte,CONT1487,Email,2025-04-03 10:37:23.093259,Falha,2025-04
CUST0075,Cliente 75,Grande Empresa,Norte,CONT1589,Email,2025-03-09 10:37:23.093600,Sucesso,2025-03
CUST0076,Cliente 76,Grande Empresa,Sudeste,CONT0310,Email,2025-01-27 10:37:23.087429,Falha,2025-01
CUST0076,Cliente 76,Grande Empresa,Sudeste,CONT0946,Email,2024-09-17 10:37:23.090386,Sucesso,2024-09
CUST0077,Cliente 77,Grande Empresa,Sudeste,CONT1261,Email,2024-11-21 10:37:23.091941,Sucesso,2024-11
CUST0078,Cliente 78,Pequena Empresa,Nordeste,CONT0350,Email,2025-03-28 10:37:23.087623,Sucesso,2025-03
CUST0079,Cliente 79,Pequena Empresa,Norte,CONT0008,Email,2025-05-25 10:37:23.085953,Sucesso,2025-05
CUST0079,Cliente 79,Pequena Empresa,Norte,CONT0565,Reunião,2024-09-29 10:37:23.088621,Sucesso,2024-09
CUST0079,Cliente 79,Pequena Empresa,Norte,CONT1843,Telefone,2025-03-26 10:37:23.094533,Falha,2025-03
CUST0080,Cliente 80,Pequena Empresa,Sul,,,,,
CUST0081,Cliente 81,Grande Empresa,Centro-Oeste,CONT1121,Chat,2024-10-30 10:37:23.091210,Sucesso,2024-10
CUST0082,Cliente 82,Média Empresa,Sul,CONT0478,Reunião,2024-10-31 10:37:23.088207,Sucesso,2024-10
CUST0082,Cliente 82,Média Empresa,Sul,CONT1388,Email,2024-10-10 10:37:23.092692,Sucesso,2024-10
CUST0083,Cliente 83,Pequena Empresa,Norte,CONT0824,Email,2025-01-10 10:37:23.089827,Sucesso,2025-01
CUST0083,Cliente 83,Pequena Empresa,Norte,CONT1499,Reunião,2025-03-14 10:37:23.093298,Sucesso,2025-03
CUST0083,Cliente 83,Pequena Empresa,Norte,CONT1631,Reunião,2024-10-18 10:37:23.093740,Sucesso,2024-10
CUST0084,Cliente 84,Pequena Empresa,Sudeste,CONT1081,Reunião,2025-06-15 10:37:23.091027,Falha,2025-06
CUST0084,Cliente 84,Pequena Empresa,Sudeste,CONT1109,Telefone,2025-06-22 10:37:23.091153,Sucesso,2025-06
CUST0085,Cliente 85,Pequena Empresa,Sudeste,,,,,
CUST0086,Cliente 86,Pequena Empresa,Norte,CONT0537,Email,2024-12-29 10:37:23.088483,Sucesso,2024-12
CUST0087,Cliente 87,Grande Empresa,Sudeste,CONT0019,Telefone,2024-10-09 10:37:23.086014,Sucesso,2024-10
CUST0087,Cliente 87,Grande Empresa,Sudeste,CONT0025,Email,2025-03-13 10:37:23.086046,Não Atendido,2025-03
CUST0087,Cliente 87,Grande Empresa,Sudeste,CONT0959,Email,2025-03-05 10:37:23.090446,Sucesso,2025-03
CUST0087,Cliente 87,Grande Empresa,Sudeste,CONT1254,Email,2025-06-03 10:37:23.091900,Sucesso,2025-06
CUST0088,Cliente 88,Média Empresa,Sudeste,CONT0175,Telefone,2025-04-21 10:37:23.086787,Sucesso,2025-04
CUST0088,Cliente 88,Média Empresa,Sudeste,CONT1605,Telefone,2024-10-20 10:37:23.093652,Sucesso,2024-10
CUST0089,Cliente 89,Grande Empresa,Sudeste,CONT0859,Email,2025-01-18 10:37:23.089989,Sucesso,2025-01
CUST0090,Cliente 90,Média Empresa,Centro-Oeste,CONT1866,Reunião,2025-07-07 10:37:23.094615,Falha,2025-07
CUST0090,Cliente 90,Média Empresa,Centro-Oeste,CONT1964,Reunião,2025-06-01 10:37:23.094959,Sucesso,2025-06
CUST0091,Cliente 91,Pequena Empresa,Centro-Oeste,CONT1335,Chat,2024-10-19 10:37:23.092374,Sucesso,2024-10
CUST0092,Cliente 92,Grande Empresa,Nordeste,,,,,
CUST0093,Cliente 93,Grande Empresa,Sul,CONT0977,Telefone,2024-12-23 10:37:23.090528,Sucesso,2024-12
CUST0093,Cliente 93,Grande Empresa,Sul,CONT1938,Email,2025-01-08 10:37:23.094849,Falha,2025-01
CUST0094,Cliente 94,Média Empresa,Norte,,,,,
CUST0095,Cliente 95,Grande Empresa,Norte,,,,,
CUST0096,Cliente 96,Média Empresa,Norte,CONT1600,Telefone,2024-11-11 10:37:23.093636,Sucesso,2024-11
CUST0097,Cliente 97,Média Empresa,Nordeste,CONT0585,Chat,2024-10-04 10:37:23.088712,Não Atendido,2024-10
CUST0098,Cliente 98,Média Empresa,Centro-Oeste,CONT0531,Reunião,2025-01-21 10:37:23.088454,Sucesso,2025-01
CUST0099,Cliente 99,Pequena Empresa,Nordeste,CONT1314,Chat,2025-04-17 10:37:23.092255,Sucesso,2025-04
CUST0100,Cliente 100,Pequena Empresa,Norte,CONT1697,Reunião,2024-08-25 10:37:23.093955,Sucesso,2024-08
CUST0100,Cliente 100,Pequena Empresa,Norte,CONT1709,Email,2025-04-24 10:37:23.093997,Sucesso,2025-04
CUST0101,Cliente 101,Pequena Empresa,Sul,CONT0020,Email,2025-01-13 10:37:23.086020,Sucesso,2025-01
CUST0101,Cliente 101,Pequena Empresa,Sul,CONT0252,Email,2024-11-11 10:37:23.087163,Sucesso,2024-11
CUST0101,Cliente 101,Pequena Empresa,Sul,CONT1657,Email,2025-07-07 10:37:23.093825,Falha,2025-07
CUST0101,Cliente 101,Pequena Empresa,Sul,CONT1676,Reunião,2025-01-21 10:37:23.093887,Sucesso,2025-01
CUST0102,Cliente 102,Média Empresa,Sudeste,CONT0669,Telefone,2024-08-21 10:37:23.089104,Sucesso,2024-08
CUST0102,Cliente 102,Média Empresa,Sudeste,CONT1370,Email,2025-01-08 10:37:23.092588,Sucesso,2025-01
CUST0102,Cliente 102,Média Empresa,Sudeste,CONT1750,Chat,2025-02-27 10:37:23.094174,Sucesso,2025-02
CUST0102,Cliente 102,Média Empresa,Sudeste,CONT1891,Email,2025-05-13 10:37:23.094698,Sucesso,2025-05
CUST0103,Cliente 103,Pequena Empresa,Centro-Oeste,CONT1052,Telefone,2025-02-12 10:37:23.090883,Sucesso,2025-02
CUST0104,Cliente 104,Média Empresa,Centro-Oeste,CONT0209,Email,2025-04-11 10:37:23.086971,Sucesso,2025-04
CUST0104,Cliente 104,Média Empresa,Centro-Oeste,CONT0618,Telefone,2024-09-05 10:37:23.088869,Falha,2024-09
CUST0104,Cliente 104,Média Empresa,Centro-Oeste,CONT1317,Telefone,2025-07-02 10:37:23.092272,Falha,2025-07
CUST0104,Cliente 104,Média Empresa,Centro-Oeste,CONT1476,Telefone,2024-09-29 10:37:23.093206,Sucesso,2024-09
CUST0104,Cliente 104,Média Empresa,Centro-Oeste,CONT1783,Telefone,2024-09-30 10:37:23.094331,Sucesso,2024-09
CUST0104,Cliente 104,Média Empresa,Centro-Oeste,CONT1850,Reunião,2024-11-21 10:37:23.094564,Falha,2024-11
CUST0105,Cliente 105,Autônomo,Nordeste,CONT1093,Chat,2025-02-06 10:37:23.091081,Sucesso,2025-02
CUST0106,Cliente 106,Pequena Empresa,Centro-Oeste,,,,,
CUST0107,Cliente 107,Média Empresa,Norte,CONT1145,Email,2024-12-20 10:37:23.091318,Sucesso,2024-12
CUST0108,Cliente 108,Grande Empresa,Norte,CONT0192,Reunião,2025-03-29 10:37:23.086865,Sucesso,2025-03
CUST0109,Cliente 109,Pequena Empresa,Nordeste,CONT0309,Email,2025-03-17 10:37:23.087424,Sucesso,2025-03
CUST0109,Cliente 109,Pequena Empresa,Nordeste,CONT0661,Email,2025-04-15 10:37:23.089068,Falha,2025-04
CUST0109,Cliente 109,Pequena Empresa,Nordeste,CONT1045,Telefone,2024-10-18 10:37:23.090851,Sucesso,2024-10
CUST0109,Cliente 109,Pequena Empresa,Nordeste,CONT1267,Telefone,2024-09-08 10:37:23.091976,Sucesso,2024-09
CUST0109,Cliente 109,Pequena Empresa,Nordeste,CONT1287,Email,2025-04-26 10:37:23.092098,Falha,2025-04
CUST0110,Cliente 110,Pequena Empresa,Norte,,,,,
CUST0111,Cliente 111,Pequena Empresa,Sul,CONT0197,Chat,2025-02-11 10:37:23.086887,Não Atendido,2025-02
CUST0111,Cliente 111,Pequena Empresa,Sul,CONT1307,Chat,2024-10-23 10:37:23.092215,Sucesso,2024-10
CUST0111,Cliente 111,Pequena Empresa,Sul,CONT1518,Chat,2024-11-05 10:37:23.093360,Sucesso,2024-11
CUST0111,Cliente 111,Pequena Empresa,Sul,CONT1761,Telefone,2025-01-03 10:37:23.094253,Não Atendido,2025-01
CUST0112,Cliente 112,Pequena Empresa,Nordeste,CONT0226,Email,2025-03-26 10:37:23.087047,Falha,2025-03
CUST0112,Cliente 112,Pequena Empresa,Nordeste,CONT0527,Chat,2025-03-17 10:37:23.088435,Falha,2025-03
CUST0113,Cliente 113,Autônomo,Sul,CONT0128,Telefone,2025-01-16 10:37:23.086577,Sucesso,2025-01
CUST0113,Cliente 113,Autônomo,Sul,CONT0324,Telefone,2025-04-23 10:37:23.087492,Falha,2025-04
CUST0113,Cliente 113,Autônomo,Sul,CONT0330,Email,2025-03-20 10:37:23.087518,Sucesso,2025-03
CUST0113,Cliente 113,Autônomo,Sul,CONT1082,Telefone,2025-02-01 10:37:23.091032,Sucesso,2025-02
CUST0113,Cliente 113,Autônomo,Sul,CONT1450,Telefone,2025-08-04 10:37:23.093052,Falha,2025-08
CUST0114,Cliente 114,Grande Empresa,Sudeste,CONT1421,Reunião,2025-06-10 10:37:23.092884,Falha,2025-06
CUST0115,Cliente 115,Média Empresa,Sul,CONT0791,Email,2025-06-05 10:37:23.089677,Sucesso,2025-06
CUST0116,Cliente 116,Grande Empresa,Sudeste,CONT1401,Email,2025-03-03 10:37:23.092767,Sucesso,2025-03
CUST0117,Cliente 117,Grande Empresa,Sudeste,CONT0314,Telefone,2024-10-18 10:37:23.087447,Sucesso,2024-10
CUST0117,Cliente 117,Grande Empresa,Sudeste,CONT1336,Telefone,2025-02-08 10:37:23.092379,Falha,2025-02
CUST0118,Cliente 118,Pequena Empresa,Sul,CONT0337,Reunião,2025-07-28 10:37:23.087550,Falha,2025-07
