contact_id,customer_id,contact_type,contact_date,contact_outcome
CONT0046,CUST0391,Telefone,2025-06-24 10:37:23.086155,Sucesso
CONT0047,CUST0499,Email,2025-07-11 10:37:23.086160,Sucesso
CONT0048,CUST0540,Email,2024-10-29 10:37:23.086165,Sucesso
CONT0049,CUST0563,Email,2025-05-02 10:37:23.086170,Falha
CONT0050,CUST0491,Email,2025-07-02 10:37:23.086175,Sucesso
CONT0051,CUST0442,Reunião,2025-04-20 10:37:23.086180,Sucesso
CONT0052,CUST0261,Email,2025-06-13 10:37:23.086185,Sucesso
CONT0053,CUST0773,Chat,2025-01-27 10:37:23.086190,Sucesso
CONT0054,CUST0350,Telefone,2024-12-31 10:37:23.086196,Sucesso
CONT0055,CUST0352,Telefone,2025-02-03 10:37:23.086201,Não Atendido
CONT0056,CUST0520,Telefone,2025-05-30 10:37:23.086206,Sucesso
CONT0057,CUST0320,Telefone,2024-09-24 10:37:23.086211,Não Atendido
CONT0058,CUST0138,Reunião,2025-03-30 10:37:23.086216,Falha
CONT0059,CUST0550,Email,2025-06-13 10:37:23.086221,Sucesso
CONT0060,CUST0623,Email,2025-05-02 10:37:23.086227,Sucesso
CONT0061,CUST0992,Reunião,2024-09-05 10:37:23.086232,Sucesso
CONT0062,CUST0368,Chat,2025-05-12 10:37:23.086237,Sucesso
CONT0063,CUST0220,Reunião,2024-10-17 10:37:23.086242,Não Atendido
CONT0064,CUST0337,Telefone,2025-04-10 10:37:23.086247,Sucesso
CONT0065,CUST0223,Reunião,2025-01-11 10:37:23.086252,Falha
CONT0066,CUST0648,Telefone,2024-09-07 10:37:23.086258,Sucesso
CONT0067,CUST0768,Telefone,2025-03-06 10:37:23.086263,Falha
CONT0068,CUST0360,Email,2025-07-03 10:37:23.086268,Não Atendido
CONT0069,CUST0921,Telefone,2025-05-20 10:37:23.086273,Sucesso
CONT0070,CUST0329,Email,2025-06-01 10:37:23.086278,Sucesso
CONT0071,CUST0962,Email,2024-08-29 10:37:23.086283,Sucesso
CONT0072,CUST0463,Reunião,2025-07-04 10:37:23.086288,Falha
CONT0073,CUST0946,Email,2025-05-02 10:37:23.086293,Não Atendido
CONT0074,CUST0963,Email,2025-02-19 10:37:23.086298,Falha
CONT0075,CUST0561,Email,2025-02-19 10:37:23.086303,Sucesso
CONT0076,CUST0804,Chat,2025-03-09 10:37:23.086309,Sucesso
CONT0077,CUST0382,Telefone,2025-05-28 10:37:23.086314,Falha
CONT0078,CUST0836,Telefone,2025-08-04 10:37:23.086320,Sucesso
CONT0079,CUST0590,Reunião,2024-09-27 10:37:23.086325,Falha
CONT0080,CUST0617,Reunião,2025-07-06 10:37:23.086330,Sucesso
CONT0081,CUST0169,Email,2024-10-24 10:37:23.086335,Sucesso
CONT0082,CUST0217,Telefone,2025-05-17 10:37:23.086340,Sucesso
CONT0083,CUST0378,Reunião,2025-06-25 10:37:23.086345,Sucesso
CONT0084,CUST0119,Telefone,2025-04-24 10:37:23.086350,Sucesso
CONT0085,CUST0190,Email,2025-08-06 10:37:23.086355,Sucesso
CONT0086,CUST0767,Reunião,2025-06-07 10:37:23.086360,Sucesso
CONT0087,CUST0370,Telefone,2024-11-10 10:37:23.086366,Sucesso
CONT0088,CUST0778,Email,2025-02-08 10:37:23.086380,Sucesso
CONT0089,CUST0149,Telefone,2024-12-26 10:37:23.086385,Falha
CONT0090,CUST0676,Email,2025-08-01 10:37:23.086390,Não Atendido
CONT0091,CUST0652,Email,2025-04-26 10:37:23.086394,Falha
CONT0092,CUST0859,Reunião,2025-07-28 10:37:23.086399,Não Atendido
CONT0093,CUST0488,Email,2025-05-28 10:37:23.086408,Sucesso
CONT0094,CUST0770,Telefone,2025-05-09 10:37:23.086413,Sucesso
CONT0095,CUST0374,Telefone,2024-12-24 10:37:23.086418,Sucesso
CONT0096,CUST0781,Email,2025-03-02 10:37:23.086422,Falha
CONT0097,CUST0693,Chat,2024-12-22 10:37:23.086426,Sucesso
CONT0098,CUST0160,Email,2025-04-03 10:37:23.086431,Sucesso
CONT0099,CUST0351,Email,2025-01-10 10:37:23.086436,Falha
CONT0100,CUST0912,Email,2025-05-02 10:37:23.086440,Sucesso
CONT0101,CUST0288,Email,2025-05-25 10:37:23.086444,Sucesso
CONT0102,CUST0288,Email,2025-04-14 10:37:23.086449,Sucesso
CONT0103,CUST0892,Reunião,2025-01-28 10:37:23.086453,Sucesso
CONT0104,CUST0226,Chat,2025-02-18 10:37:23.086458,Sucesso
CONT0105,CUST0523,Email,2024-10-04 10:37:23.086462,Sucesso
CONT0106,CUST0522,Telefone,2025-01-15 10:37:23.086467,Sucesso
CONT0107,CUST0783,Reunião,2025-06-12 10:37:23.086471,Sucesso
CONT0108,CUST0273,Reunião,2025-01-11 10:37:23.086475,Falha
CONT0109,CUST0936,Telefone,2025-06-27 10:37:23.086480,Falha
CONT0110,CUST0402,Email,2025-07-06 10:37:23.086484,Sucesso
CONT0111,CUST0183,Email,2025-07-23 10:37:23.086489,Falha
CONT0112,CUST0969,Reunião,2025-06-06 10:37:23.086493,Sucesso
CONT0113,CUST0665,Reunião,2025-03-05 10:37:23.086498,Sucesso
CONT0114,CUST0488,Email,2024-10-27 10:37:23.086502,Sucesso
CONT0115,CUST0827,Email,2025-01-10 10:37:23.086506,Sucesso
CONT0116,CUST0846,Chat,2024-09-21 10:37:23.086511,Sucesso
CONT0117,CUST0124,Reunião,2025-02-01 10:37:23.086515,Sucesso
CONT0118,CUST0985,Chat,2025-03-30 10:37:23.086520,Sucesso
CONT0119,CUST0626,Reunião,2025-04-02 10:37:23.086524,Falha
CONT0120,CUST0790,Email,2024-10-19 10:37:23.086529,Sucesso
CONT0121,CUST0414,Telefone,2025-04-15 10:37:23.086533,Sucesso
CONT0122,CUST0980,Telefone,2025-01-20 10:37:23.086537,Sucesso
CONT0123,CUST0725,Email,2025-07-25 10:37:23.086542,Sucesso
CONT0124,CUST0172,Telefone,2024-11-09 10:37:23.086546,Sucesso
CONT0125,CUST0288,Reunião,2025-05-10 10:37:23.086551,Sucesso
CONT0126,CUST0435,Email,2025-01-04 10:37:23.086568,Sucesso
CONT0127,CUST0686,Reunião,2024-11-02 10:37:23.086572,Falha
CONT0128,CUST0113,Telefone,2025-01-16 10:37:23.086577,Sucesso
CONT0129,CUST0888,Chat,2025-05-25 10:37:23.086582,Não Atendido
CONT0130,CUST0917,Email,2025-07-13 10:37:23.086586,Sucesso
CONT0131,CUST0995,Email,2025-04-28 10:37:23.086591,Sucesso
CONT0132,CUST0122,Telefone,2025-02-12 10:37:23.086595,Sucesso
CONT0133,CUST0544,Email,2025-04-12 10:37:23.086599,Sucesso
CONT0134,CUST0222,Reunião,2025-02-22 10:37:23.086604,Sucesso
CONT0135,CUST0631,Reunião,2025-06-27 10:37:23.086608,Sucesso
CONT0136,CUST0039,Email,2024-08-28 10:37:23.086613,Falha
CONT0137,CUST0497,Telefone,2025-04-09 10:37:23.086617,Não Atendido
CONT0138,CUST0780,Telefone,2025-05-02 10:37:23.086622,Sucesso
CONT0139,CUST0233,Email,2025-03-15 10:37:23.086626,Sucesso
CONT0140,CUST0943,Chat,2025-01-03 10:37:23.086631,Sucesso
CONT0141,CUST0530,Reunião,2024-12-21 10:37:23.086635,Sucesso
CONT0142,CUST0149,Telefone,2024-09-28 10:37:23.086639,Falha
CONT0143,CUST0397,Reunião,2025-03-30 10:37:23.086644,Falha
CONT0144,CUST0661,Telefone,2024-08-20 10:37:23.086648,Falha
CONT0145,CUST0638,Chat,2024-09-23 10:37:23.086653,Sucesso
CONT0146,CUST0904,Telefone,2025-03-23 10:37:23.086657,Sucesso
CONT0147,CUST0302,Reunião,2024-09-17 10:37:23.086662,Sucesso
CONT0148,CUST0360,Reunião,2024-09-04 10:37:23.086666,Não Atendido
CONT0149,CUST0238,Email,2024-11-07 10:37:23.086671,Sucesso
CONT0150,CUST0647,Reunião,2025-04-12 10:37:23.086676,Sucesso
CONT0151,CUST0663,Email,2024-10-05 10:37:23.086680,Sucesso
CONT0152,CUST0236,Email,2025-05-05 10:37:23.086685,Falha
CONT0153,CUST0736,Email,2025-02-20 10:37:23.086689,Sucesso
CONT0154,CUST0203,Chat,2025-01-16 10:37:23.086693,Sucesso
CONT0155,CUST0256,Reunião,2024-08-31 10:37:23.086698,Não Atendido
CONT0156,CUST0598,Reunião,2025-03-11 10:37:23.086702,Não Atendido
CONT0157,CUST0662,Reunião,2025-02-05 10:37:23.086707,Sucesso
CONT0158,CUST0235,Telefone,2025-03-08 10:37:23.086711,Sucesso
CONT0159,CUST0345,Chat,2025-05-25 10:37:23.086716,Falha
CONT0160,CUST0534,Telefone,2024-11-06 10:37:23.086720,Não Atendido
CONT0161,CUST0860,Email,2025-06-26 10:37:23.086725,Sucesso
CONT0162,CUST0797,Email,2025-01-07 10:37:23.086729,Sucesso
CONT0163,CUST0781,Reunião,2025-04-28 10:37:23.086733,Sucesso
CONT0164,CUST0466,Reunião,2025-06-23 10:37:23.086738,Falha
CONT0165,CUST0770,Email,2025-05-17 10:37:23.086742,Sucesso
CONT0166,CUST0541,Email,2025-07-21 10:37:23.086747,Sucesso
CONT0167,CUST0213,Reunião,2025-05-26 10:37:23.086751,Sucesso
CONT0168,CUST0463,Email,2025-07-24 10:37:23.086755,Não Atendido
CONT0169,CUST0436,Reunião,2025-03-03 10:37:23.086760,Sucesso
CONT0170,CUST0283,Chat,2024-12-27 10:37:23.086764,Sucesso
CONT0171,CUST0562,Telefone,2025-03-28 10:37:23.086769,Sucesso
CONT0172,CUST0607,Email,2024-09-03 10:37:23.086773,Sucesso
CONT0173,CUST0463,Reunião,2025-06-21 10:37:23.086777,Sucesso
CONT0174,CUST0407,Reunião,2025-04-22 10:37:23.086782,Falha
CONT0175,CUST0088,Telefone,2025-04-21 10:37:23.086787,Sucesso
CONT0176,CUST0044,Chat,2024-11-15 10:37:23.086791,Não Atendido
CONT0177,CUST0461,Email,2025-01-14 10:37:23.086796,Sucesso
CONT0178,CUST0278,Telefone,2025-05-20 10:37:23.086803,Sucesso
CONT0179,CUST0683,Reunião,2025-03-05 10:37:23.086807,Sucesso
CONT0180,CUST0421,Reunião,2024-11-09 10:37:23.086812,Sucesso
CONT0181,CUST0701,Email,2024-12-03 10:37:23.086816,Sucesso
CONT0182,CUST0353,Reunião,2025-07-19 10:37:23.086821,Falha
CONT0183,CUST0696,Telefone,2024-08-26 10:37:23.086825,Falha
CONT0184,CUST0515,Email,2025-07-12 10:37:23.086829,Sucesso
CONT0185,CUST0703,Email,2025-01-02 10:37:23.086834,Não Atendido
CONT0186,CUST0630,Reunião,2025-03-06 10:37:23.086838,Sucesso
CONT0187,CUST0019,Email,2025-03-06 10:37:23.086843,Falha
CONT0188,CUST0023,Email,2025-02-14 10:37:23.086847,Sucesso
CONT0189,CUST0413,Email,2025-05-07 10:37:23.086851,Sucesso
CONT0190,CUST0030,Reunião,2024-09-03 10:37:23.086856,Falha
CONT0191,CUST0807,Telefone,2025-02-07 10:37:23.086860,Sucesso
CONT0192,CUST0108,Reunião,2025-03-29 10:37:23.086865,Sucesso
CONT0193,CUST0367,Email,2024-10-13 10:37:23.086869,Sucesso
CONT0194,CUST0281,Telefone,2024-11-05 10:37:23.086874,Sucesso
CONT0195,CUST0128,Telefone,2024-11-07 10:37:23.086878,Falha
CONT0196,CUST0229,Reunião,2025-05-23 10:37:23.086883,Sucesso
CONT0197,CUST0111,Chat,2025-02-11 10:37:23.086887,Não Atendido
CONT0198,CUST0136,Email,2025-02-04 10:37:23.086892,Sucesso
CONT0199,CUST0362,Telefone,2024-09-22 10:37:23.086896,Sucesso
CONT0200,CUST0186,Email,2025-03-29 10:37:23.086900,Falha
CONT0201,CUST0656,Telefone,2024-08-09 10:37:23.086905,Sucesso
CONT0202,CUST0584,Email,2025-06-19 10:37:23.086910,Não Atendido
CONT0203,CUST0129,Email,2025-06-13 10:37:23.086944,Sucesso
CONT0204,CUST0876,Email,2025-03-06 10:37:23.086948,Sucesso
CONT0205,CUST0261,Telefone,2024-08-17 10:37:23.086953,Sucesso
CONT0206,CUST0515,Email,2025-01-19 10:37:23.086957,Sucesso
CONT0207,CUST0449,Reunião,2024-10-03 10:37:23.086962,Sucesso
CONT0208,CUST0900,Telefone,2024-08-16 10:37:23.086966,Falha
CONT0209,CUST0104,Email,2025-04-11 10:37:23.086971,Sucesso
CONT0210,CUST0483,Reunião,2024-11-17 10:37:23.086975,Sucesso
CONT0211,CUST0224,Email,2025-06-22 10:37:23.086980,Sucesso
CONT0212,CUST0832,Telefone,2024-10-09 10:37:23.086984,Sucesso
CONT0213,CUST0874,Telefone,2024-08-16 10:37:23.086989,Sucesso
CONT0214,CUST0866,Email,2025-01-30 10:37:23.086993,Falha
CONT0215,CUST0491,Email,2024-10-01 10:37:23.086998,Falha
CONT0216,CUST0473,Email,2024-09-23 10:37:23.087002,Falha
CONT0217,CUST0010,Chat,2025-03-31 10:37:23.087007,Falha
CONT0218,CUST0405,Telefone,2025-06-19 10:37:23.087011,Sucesso
CONT0219,CUST0896,Telefone,2025-07-13 10:37:23.087016,Falha
CONT0220,CUST0302,Telefone,2024-11-14 10:37:23.087020,Sucesso
CONT0221,CUST0231,Email,2025-04-11 10:37:23.087025,Sucesso
CONT0222,CUST0731,Telefone,2025-03-16 10:37:23.087029,Sucesso
CONT0223,CUST0923,Reunião,2025-01-19 10:37:23.087033,Sucesso
CONT0224,CUST0066,Email,2025-03-03 10:37:23.087038,Falha
CONT0225,CUST0937,Email,2024-08-24 10:37:23.087042,Sucesso
CONT0226,CUST0112,Email,2025-03-26 10:37:23.087047,Falha
CONT0227,CUST0013,Telefone,2025-03-12 10:37:23.087051,Sucesso
CONT0228,CUST0393,Chat,2024-09-05 10:37:23.087056,Sucesso
CONT0229,CUST0500,Email,2025-05-28 10:37:23.087060,Falha
CONT0230,CUST0932,Telefone,2024-12-17 10:37:23.087065,Sucesso
CONT0231,CUST0598,Email,2024-09-07 10:37:23.087069,Sucesso
CONT0232,CUST0234,Chat,2024-10-12 10:37:23.087074,Sucesso
CONT0233,CUST0602,Email,2025-03-06 10:37:23.087078,Sucesso
CONT0234,CUST0314,Telefone,2025-05-09 10:37:23.087083,Sucesso
CONT0235,CUST0566,Reunião,2024-09-07 10:37:23.087088,Sucesso
CONT0236,CUST0012,Reunião,2025-01-20 10:37:23.087092,Não Atendido
CONT0237,CUST0209,Telefone,2025-02-27 10:37:23.087097,Falha
CONT0238,CUST0974,Email,2025-07-12 10:37:23.087101,Falha
CONT0239,CUST0014,Email,2025-04-08 10:37:23.087106,Falha
CONT0240,CUST0633,Email,2024-10-10 10:37:23.087110,Sucesso
CONT0241,CUST0418,Email,2025-01-07 10:37:23.087115,Sucesso
CONT0242,CUST0437,Telefone,2025-06-05 10:37:23.087119,Sucesso
CONT0243,CUST0377,Email,2025-05-31 10:37:23.087123,Sucesso
CONT0244,CUST0020,Email,2024-11-27 10:37:23.087128,Não Atendido
CONT0245,CUST0587,Telefone,2025-08-05 10:37:23.087132,Sucesso
CONT0246,CUST0912,Chat,2025-04-21 10:37:23.087137,Sucesso
CONT0247,CUST0755,Telefone,2024-10-25 10:37:23.087141,Sucesso
CONT0248,CUST0735,Email,2025-06-19 10:37:23.087146,Sucesso
CONT0249,CUST0070,Email,2025-03-20 10:37:23.087150,Sucesso
CONT0250,CUST0824,Chat,2025-01-01 10:37:23.087154,Sucesso
CONT0251,CUST0211,Email,2025-06-24 10:37:23.087159,Sucesso
CONT0252,CUST0101,Email,2024-11-11 10:37:23.087163,Sucesso
CONT0253,CUST0698,Telefone,2025-05-21 10:37:23.087168,Sucesso
CONT0254,CUST0132,Telefone,2025-01-03 10:37:23.087172,Sucesso
CONT0255,CUST0623,Telefone,2025-05-01 10:37:23.087177,Falha
CONT0256,CUST0381,Email,2024-12-14 10:37:23.087181,Sucesso
CONT0257,CUST0132,Email,2024-10-29 10:37:23.087186,Sucesso
CONT0258,CUST0020,Chat,2025-03-11 10:37:23.087190,Não Atendido
CONT0259,CUST0906,Email,2024-10-07 10:37:23.087195,Sucesso
CONT0260,CUST0536,Telefone,2025-06-02 10:37:23.087200,Falha
CONT0261,CUST0227,Reunião,2024-12-16 10:37:23.087204,Não Atendido
CONT0262,CUST0154,Telefone,2025-05-12 10:37:23.087209,Sucesso
CONT0263,CUST0805,Email,2025-05-20 10:37:23.087216,Falha
CONT0264,CUST0742,Email,2025-01-14 10:37:23.087220,Falha
CONT0265,CUST0469,Telefone,2024-11-01 10:37:23.087225,Sucesso
CONT0266,CUST0822,Reunião,2024-09-04 10:37:23.087230,Sucesso
CONT0267,CUST1000,Chat,2024-11-26 10:37:23.087234,Não Atendido
CONT0268,CUST0871,Email,2024-10-07 10:37:23.087239,Falha
CONT0269,CUST0405,Email,2025-03-30 10:37:23.087243,Sucesso
CONT0270,CUST0202,Chat,2025-05-15 10:37:23.087248,Sucesso
CONT0271,CUST0038,Reunião,2024-11-04 10:37:23.087253,Falha
CONT0272,CUST0942,Reunião,2025-02-01 10:37:23.087257,Sucesso
CONT0273,CUST0772,Email,2025-06-22 10:37:23.087262,Sucesso
CONT0274,CUST0188,Telefone,2025-02-05 10:37:23.087266,Falha
CONT0275,CUST0057,Reunião,2024-11-12 10:37:23.087271,Sucesso
CONT0276,CUST0941,Telefone,2024-10-15 10:37:23.087275,Sucesso
CONT0277,CUST0020,Telefone,2024-09-19 10:37:23.087280,Falha
CONT0278,CUST0273,Email,2025-04-29 10:37:23.087284,Falha
CONT0279,CUST0119,Telefone,2025-05-21 10:37:23.087289,Sucesso
CONT0280,CUST0583,Email,2024-11-08 10:37:23.087293,Sucesso
CONT0281,CUST0516,Telefone,2024-09-02 10:37:23.087298,Sucesso
CONT0282,CUST0221,Chat,2025-02-26 10:37:23.087302,Não Atendido
CONT0283,CUST0526,Email,2025-06-24 10:37:23.087308,Sucesso
CONT0284,CUST0515,Reunião,2024-12-12 10:37:23.087312,Sucesso
CONT0285,CUST0728,Email,2025-03-26 10:37:23.087317,Sucesso
CONT0286,CUST0741,Telefone,2025-01-27 10:37:23.087321,Falha
CONT0287,CUST0336,Chat,2024-08-16 10:37:23.087326,Sucesso
CONT0288,CUST0698,Email,2024-11-02 10:37:23.087330,Sucesso
CONT0289,CUST0055,Email,2025-07-20 10:37:23.087335,Sucesso
CONT0290,CUST0500,Telefone,2025-07-26 10:37:23.087339,Falha
CONT0291,CUST0900,Email,2025-02-08 10:37:23.087344,Sucesso
CONT0292,CUST0888,Reunião,2025-04-06 10:37:23.087348,Sucesso
CONT0293,CUST0766,Chat,2024-12-04 10:37:23.087353,Sucesso
CONT0294,CUST0536,Telefone,2024-12-28 10:37:23.087357,Falha
CONT0295,CUST0162,Email,2025-06-17 10:37:23.087361,Sucesso
CONT0296,CUST0670,Telefone,2025-05-28 10:37:23.087366,Sucesso
CONT0297,CUST0594,Reunião,2025-06-20 10:37:23.087370,Sucesso
CONT0298,CUST0915,Email,2025-07-19 10:37:23.087375,Não Atendido
CONT0299,CUST0159,Telefone,2024-11-18 10:37:23.087379,Sucesso
CONT0300,CUST0188,Telefone,2025-05-15 10:37:23.087384,Não Atendido
CONT0301,CUST0060,Telefone,2025-03-05 10:37:23.087388,Falha
CONT0302,CUST0915,Email,2025-06-15 10:37:23.087393,Sucesso
CONT0303,CUST0817,Reunião,2025-04-22 10:37:23.087397,Sucesso
CONT0304,CUST0319,Email,2024-08-15 10:37:23.087402,Sucesso
CONT0305,CUST0878,Email,2024-10-07 10:37:23.087406,Sucesso
CONT0306,CUST0211,Reunião,2025-03-25 10:37:23.087411,Sucesso
CONT0307,CUST0406,Reunião,2025-05-30 10:37:23.087415,Sucesso
CONT0308,CUST0664,Email,2025-07-27 10:37:23.087420,Não Atendido
CONT0309,CUST0109,Email,2025-03-17 10:37:23.087424,Sucesso
CONT0310,CUST0076,Email,2025-01-27 10:37:23.087429,Falha
CONT0311,CUST0542,Email,2025-05-30 10:37:23.087433,Sucesso
CONT0312,CUST0314,Email,2025-07-15 10:37:23.087438,Sucesso
CONT0313,CUST0998,Email,2025-02-07 10:37:23.087442,Falha
CONT0314,CUST0117,Telefone,2024-10-18 10:37:23.087447,Sucesso
CONT0315,CUST0927,Reunião,2025-07-29 10:37:23.087451,Falha
CONT0316,CUST0868,Telefone,2024-11-09 10:37:23.087456,Sucesso
CONT0317,CUST0704,Telefone,2025-05-06 10:37:23.087460,Sucesso
CONT0318,CUST0019,Email,2025-07-21 10:37:23.087465,Falha
CONT0319,CUST0432,Chat,2025-03-06 10:37:23.087469,Sucesso
CONT0320,CUST0685,Reunião,2024-09-13 10:37:23.087474,Sucesso
CONT0321,CUST0740,Reunião,2025-03-11 10:37:23.087478,Não Atendido
CONT0322,CUST0350,Reunião,2024-11-13 10:37:23.087483,Sucesso
CONT0323,CUST0183,Chat,2024-09-13 10:37:23.087487,Não Atendido
CONT0324,CUST0113,Telefone,2025-04-23 10:37:23.087492,Falha
CONT0325,CUST0183,Email,2025-07-03 10:37:23.087496,Falha
CONT0326,CUST0481,Telefone,2025-04-10 10:37:23.087501,Sucesso
CONT0327,CUST0146,Reunião,2025-07-24 10:37:23.087505,Sucesso
CONT0328,CUST0831,Reunião,2025-07-24 10:37:23.087509,Falha
CONT0329,CUST0628,Telefone,2024-11-14 10:37:23.087514,Sucesso
CONT0330,CUST0113,Email,2025-03-20 10:37:23.087518,Sucesso
CONT0331,CUST0763,Email,2024-10-17 10:37:23.087523,Sucesso
CONT0332,CUST0476,Chat,2024-08-08 10:37:23.087527,Sucesso
CONT0333,CUST0763,Telefone,2025-04-10 10:37:23.087532,Não Atendido
CONT0334,CUST0303,Telefone,2024-12-12 10:37:23.087536,Falha
CONT0335,CUST0971,Email,2025-07-04 10:37:23.087541,Sucesso
CONT0336,CUST0825,Email,2025-02-19 10:37:23.087545,Sucesso
CONT0337,CUST0118,Reunião,2025-07-28 10:37:23.087550,Falha
CONT0338,CUST0813,Telefone,2025-04-07 10:37:23.087566,Sucesso
CONT0339,CUST0161,Reunião,2025-03-15 10:37:23.087571,Não Atendido
CONT0340,CUST0401,Telefone,2024-12-27 10:37:23.087575,Sucesso
CONT0341,CUST0198,Telefone,2024-11-23 10:37:23.087580,Sucesso
CONT0342,CUST0260,Email,2024-11-12 10:37:23.087584,Sucesso
CONT0343,CUST0660,Reunião,2024-08-13 10:37:23.087589,Não Atendido
CONT0344,CUST0752,Telefone,2025-08-03 10:37:23.087594,Sucesso
CONT0345,CUST0047,Telefone,2024-08-18 10:37:23.087598,Sucesso
CONT0346,CUST0987,Telefone,2025-04-23 10:37:23.087603,Sucesso
CONT0347,CUST0399,Chat,2025-05-14 10:37:23.087607,Falha
CONT0348,CUST0710,Email,2025-01-05 10:37:23.087612,Falha
CONT0349,CUST0559,Reunião,2025-04-08 10:37:23.087619,Sucesso
CONT0350,CUST0078,Email,2025-03-28 10:37:23.087623,Sucesso
CONT0351,CUST0124,Telefone,2024-09-03 10:37:23.087628,Sucesso
CONT0352,CUST0075,Email,2025-01-22 10:37:23.087632,Sucesso
CONT0353,CUST0871,Email,2025-07-19 10:37:23.087637,Sucesso
CONT0354,CUST0137,Telefone,2025-03-30 10:37:23.087641,Sucesso
CONT0355,CUST0602,Email,2025-07-26 10:37:23.087646,Sucesso
CONT0356,CUST0400,Telefone,2025-05-18 10:37:23.087650,Sucesso
CONT0357,CUST0837,Chat,2024-09-11 10:37:23.087655,Sucesso
CONT0358,CUST0505,Email,2024-08-18 10:37:23.087659,Falha
CONT0359,CUST0500,Reunião,2024-11-18 10:37:23.087664,Sucesso
CONT0360,CUST0573,Telefone,2025-04-04 10:37:23.087668,Sucesso
CONT0361,CUST0138,Telefone,2024-10-04 10:37:23.087673,Sucesso
CONT0362,CUST0050,Email,2024-11-13 10:37:23.087677,Sucesso
CONT0363,CUST0771,Email,2025-03-20 10:37:23.087682,Sucesso
CONT0364,CUST0973,Email,2024-09-12 10:37:23.087687,Falha
CONT0365,CUST0619,Email,2025-08-05 10:37:23.087691,Sucesso
CONT0366,CUST0625,Email,2025-07-30 10:37:23.087696,Sucesso
CONT0367,CUST0862,Telefone,2024-11-30 10:37:23.087700,Sucesso
CONT0368,CUST0254,Reunião,2025-03-21 10:37:23.087705,Falha
CONT0369,CUST0630,Reunião,2025-04-05 10:37:23.087709,Sucesso
